,stimulus,key_press,test_part,trial_type,trial_index,time_elapsed,internal_node_id,subject,condition,experiment_name,totalTime,button_pressed,responses,order,remembered,poswords,negwords,confabpos,confabneg,confab,rememberedwords,totalwords,NAS,PAS
0,,,panas_questionnaire,survey-likert,3,92537,0.0-3.0,59c0de1c754a19000111c362,180,mooneymood,7.638883333333333,,"{""Q0"":0,""Q1"":1,""Q2"":1,""Q3"":3,""Q4"":3,""Q5"":2,""Q6"":3,""Q7"":0,""Q8"":0,""Q9"":0,""Q10"":1,""Q11"":1,""Q12"":0,""Q13"":1,""Q14"":1,""Q15"":0,""Q16"":0,""Q17"":4,""Q18"":0,""Q19"":4}","Distressed,Upset,Nervous,Proud,Enthusiastic,Excited,Strong,Scared,Guilty,Determined,Inspired,Alert,Irritable,Ashamed,Attentive,Jittery,Hostile,Interested,Afraid,Active","scared, ashamed, irritable, proud, motivated, inspired, sad, positive",4,5,2,2,4,"['scared', 'ashamed', 'irritable', 'proud', 'motivated', 'inspired', 'sad', 'positive']",8,3,19
1,,,panas_questionnaire,survey-likert,3,152817,0.0-3.0,5b9044561bfa0e000164ca85,0,mooneymood,9.731733333333333,,"{""Q0"":2,""Q1"":1,""Q2"":1,""Q3"":2,""Q4"":3,""Q5"":2,""Q6"":3,""Q7"":0,""Q8"":1,""Q9"":1,""Q10"":0,""Q11"":2,""Q12"":0,""Q13"":1,""Q14"":3,""Q15"":2,""Q16"":2,""Q17"":0,""Q18"":1,""Q19"":3}","Interested,Distressed,Nervous,Attentive,Excited,Hostile,Proud,Ashamed,Strong,Guilty,Jittery,Inspired,Afraid,Enthusiastic,Irritable,Alert,Determined,Scared,Active,Upset","upset, irritated, excited, attentive, scared, happy, anxious nervous, proud, guilty, confident, interested, frustrated",7,7,3,3,6,"['upset', 'irritated', 'excited', 'attentive', 'scared', 'happy', 'anxious', 'nervous', 'proud', 'guilty', 'confident', 'interested', 'frustrated']",13,11,18
2,,,panas_questionnaire,survey-likert,3,85232,0.0-3.0,5a2aec00443c100001211332,180,mooneymood,5.3475166666666665,,"{""Q0"":1,""Q1"":0,""Q2"":1,""Q3"":2,""Q4"":2,""Q5"":1,""Q6"":2,""Q7"":3,""Q8"":1,""Q9"":2,""Q10"":0,""Q11"":0,""Q12"":0,""Q13"":0,""Q14"":0,""Q15"":0,""Q16"":3,""Q17"":1,""Q18"":0,""Q19"":1}","Distressed,Proud,Alert,Active,Upset,Determined,Hostile,Nervous,Enthusiastic,Attentive,Strong,Guilty,Afraid,Scared,Ashamed,Inspired,Irritable,Interested,Jittery,Excited","inspired, scared, anxious, motivated, strong, nervous, guilty, irritable, angry, active, ",4,6,1,2,3,"['inspired', 'scared', 'anxious', 'motivated', 'strong', 'nervous', 'guilty', 'irritable', 'angry', 'active']",10,11,8
3,,,panas_questionnaire,survey-likert,3,125889,0.0-3.0,5b12dbf1bd9c31000156cbc1,180,mooneymood,5.46115,,"{""Q0"":2,""Q1"":0,""Q2"":1,""Q3"":1,""Q4"":2,""Q5"":1,""Q6"":1,""Q7"":0,""Q8"":3,""Q9"":3,""Q10"":4,""Q11"":1,""Q12"":3,""Q13"":3,""Q14"":1,""Q15"":3,""Q16"":3,""Q17"":1,""Q18"":1,""Q19"":4}","Excited,Distressed,Afraid,Alert,Nervous,Jittery,Hostile,Scared,Inspired,Active,Determined,Upset,Proud,Attentive,Irritable,Strong,Enthusiastic,Ashamed,Guilty,Interested","excited, interested, determined, inspired, scared, afraid, guilty, ashamed, strong, nervous, jittery, ",5,6,0,0,0,"['excited', 'interested', 'determined', 'inspired', 'scared', 'afraid', 'guilty', 'ashamed', 'strong', 'nervous', 'jittery']",11,9,26
4,,,panas_questionnaire,survey-likert,3,117409,0.0-3.0,5a6c0147d5d4cb0001d659e4,0,mooneymood,6.631566666666667,,"{""Q0"":0,""Q1"":0,""Q2"":2,""Q3"":0,""Q4"":0,""Q5"":3,""Q6"":2,""Q7"":0,""Q8"":0,""Q9"":4,""Q10"":0,""Q11"":3,""Q12"":1,""Q13"":0,""Q14"":0,""Q15"":3,""Q16"":2,""Q17"":4,""Q18"":0,""Q19"":3}","Jittery,Nervous,Determined,Distressed,Guilty,Active,Strong,Scared,Hostile,Attentive,Ashamed,Alert,Proud,Irritable,Afraid,Interested,Inspired,Enthusiastic,Upset,Excited","determined, anxious, excited, interested, nervous, jittery, scared, ",3,4,0,1,1,"['determined', 'anxious', 'excited', 'interested', 'nervous', 'jittery', 'scared']",7,0,23
5,,,panas_questionnaire,survey-likert,3,125565,0.0-3.0,5aec425023e2ca000197591b,0,mooneymood,6.860683333333333,,"{""Q0"":0,""Q1"":3,""Q2"":1,""Q3"":1,""Q4"":2,""Q5"":2,""Q6"":0,""Q7"":2,""Q8"":0,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":2,""Q13"":0,""Q14"":3,""Q15"":2,""Q16"":1,""Q17"":0,""Q18"":2,""Q19"":3}","Hostile,Active,Nervous,Afraid,Inspired,Excited,Ashamed,Enthusiastic,Irritable,Upset,Scared,Jittery,Alert,Distressed,Determined,Interested,Proud,Guilty,Attentive,Strong","guilty, scared, proud, strong, anxious, attentive, interested",4,3,0,1,1,"['guilty', 'scared', 'proud', 'strong', 'anxious', 'attentive', 'interested']",7,4,20
6,,,panas_questionnaire,survey-likert,3,70724,0.0-3.0,5b7c89c4db11320001c43c05,0,mooneymood,7.02575,,"{""Q0"":4,""Q1"":2,""Q2"":2,""Q3"":2,""Q4"":1,""Q5"":2,""Q6"":2,""Q7"":1,""Q8"":1,""Q9"":1,""Q10"":2,""Q11"":2,""Q12"":4,""Q13"":1,""Q14"":2,""Q15"":1,""Q16"":1,""Q17"":1,""Q18"":1,""Q19"":1}","Attentive,Active,Enthusiastic,Interested,Nervous,Inspired,Excited,Distressed,Hostile,Jittery,Strong,Proud,Alert,Guilty,Determined,Ashamed,Upset,Irritable,Afraid,Scared","hostile, alert, attentive, jittery, scared, afraid, upset, distressed, nervous",2,7,0,0,0,"['hostile', 'alert', 'attentive', 'jittery', 'scared', 'afraid', 'upset', 'distressed', 'nervous']",9,10,22
7,,,panas_questionnaire,survey-likert,3,87519,0.0-3.0,5ad35bcdfb109b0001a32b20,180,mooneymood,5.205866666666667,,"{""Q0"":2,""Q1"":1,""Q2"":3,""Q3"":4,""Q4"":3,""Q5"":1,""Q6"":0,""Q7"":0,""Q8"":2,""Q9"":3,""Q10"":1,""Q11"":3,""Q12"":3,""Q13"":2,""Q14"":2,""Q15"":0,""Q16"":4,""Q17"":2,""Q18"":1,""Q19"":1}","Determined,Guilty,Enthusiastic,Strong,Proud,Ashamed,Nervous,Upset,Inspired,Alert,Afraid,Interested,Attentive,Hostile,Excited,Jittery,Active,Scared,Irritable,Distressed","scared,nervous,distressed,active,alert,hostile,jealous",2,5,0,1,1,"['scared', 'nervous', 'distressed', 'active', 'alert', 'hostile', 'jealous']",7,9,26
8,,,panas_questionnaire,survey-likert,3,87431,0.0-3.0,5b2192216f3b6a000174b585,180,mooneymood,6.53965,,"{""Q0"":3,""Q1"":0,""Q2"":4,""Q3"":2,""Q4"":2,""Q5"":0,""Q6"":4,""Q7"":1,""Q8"":0,""Q9"":0,""Q10"":0,""Q11"":2,""Q12"":3,""Q13"":2,""Q14"":3,""Q15"":3,""Q16"":4,""Q17"":0,""Q18"":0,""Q19"":0}","Alert,Scared,Determined,Excited,Interested,Afraid,Strong,Irritable,Hostile,Nervous,Ashamed,Inspired,Active,Upset,Proud,Enthusiastic,Attentive,Distressed,Guilty,Jittery","angry
afraid
scared
guilty
ashamed
excited
upset
distressed
hostile
nervous
strong
proud
",3,9,0,1,1,"['angry', 'afraid', 'scared', 'guilty', 'ashamed', 'excited', 'upset', 'distressed', 'hostile', 'nervous', 'strong', 'proud']",12,3,27
9,,,panas_questionnaire,survey-likert,3,102749,0.0-3.0,56cb3d8c08d730000afd2f12,0,mooneymood,6.540633333333333,,"{""Q0"":1,""Q1"":3,""Q2"":0,""Q3"":3,""Q4"":3,""Q5"":4,""Q6"":3,""Q7"":3,""Q8"":1,""Q9"":0,""Q10"":0,""Q11"":0,""Q12"":2,""Q13"":2,""Q14"":3,""Q15"":0,""Q16"":3,""Q17"":0,""Q18"":0,""Q19"":0}","Jittery,Strong,Upset,Attentive,Alert,Active,Determined,Enthusiastic,Irritable,Nervous,Hostile,Guilty,Inspired,Excited,Interested,Afraid,Proud,Distressed,Ashamed,Scared","jittery,alert,hostile,attentive,guilty,excitment,afraid,scared,",3,5,1,0,1,"['jittery', 'alert', 'hostile', 'attentive', 'guilty', 'excitment', 'afraid', 'scared']",8,2,26
