"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","experiment_name","totalTime","button_pressed","responses","order"
"1456","Welcome to the experiment. Press any key to begin.","77","instructions","html-keyboard-response","0","1459","0.0-0.0","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"7204","<div style='word-wrap: break-word; width: 900px'><h3>Please consider this information carefully before deciding whether to participate in this research</h3><ul style='text-align: left; font-size: .8em;'><li><b>Time required</b>: Participation will take between 15 and 45 minutes to complete.</li><li><b>Risks</b>:  There are no anticipated risks associated with participating in this study. The effects of participating should be comparable to those you would experience from viewing a computer monitor for 30 minutes and using a mouse or keyboard.</li><li><b>Benefits</b>:  This study provides no benefits to you individually except for the monetary reward. The study provides important information about the nature of perception and learning.</li><li><b>Confidentiality</b>:  Your participation in this study will remain confidential. No personally identifiable information will be associated with your data. Your de-identified data may be shared with other researchers and used in future projects.</li><li><b>Participation and withdrawal</b>:  Your participation in this study is completely voluntary and you may refuse to participate or you may choose to withdraw at any time without penalty.</li><li><b>How to contact the researchers</b>: If you have questions or concerns about your participation or payment, or want to request a summary of research findings, please contact Sander Van de Cruys (KU Leuven), at sander.vandecruys@kuleuven.be.</li></ul><p>The nature and purpose of this research have been sufficiently explained and I agree to participate in this study.  I understand that I am free to withdraw at any time without incurring any penalty.</p><p>Please consent by clicking the button below to continue. Otherwise, please exit the study at this time.</p></div>","","instructions","html-button-response","1","8667","0.0-1.0","56bdd0efef423f0006cbd833","0","mooneymood","531705","0","",""
"11930","<div style='word-wrap: break-word; width: 900px'><h3>Instructions: read carefully!</h3><p>This is a memory experiment that consists of 3 short parts. In the first part you'll have to fill in a brief emotion-questionnaire. In the second part you'll see a series of black and white images, that you'll have to try to remember in the last part.</p><p>Please complete each task immediately after the other. The experiment will only take about 10 minutes in total.</p><p>Press enter to start the first part of the experiment.</p></div>","","instructions","html-button-response","2","20601","0.0-2.0","56bdd0efef423f0006cbd833","0","mooneymood","531705","0","",""
"53208","","","panas_questionnaire","survey-likert","3","73822","0.0-3.0","56bdd0efef423f0006cbd833","0","mooneymood","531705","","{""Q0"":0,""Q1"":0,""Q2"":1,""Q3"":0,""Q4"":0,""Q5"":0,""Q6"":2,""Q7"":1,""Q8"":2,""Q9"":1,""Q10"":1,""Q11"":1,""Q12"":0,""Q13"":1,""Q14"":2,""Q15"":1,""Q16"":1,""Q17"":2,""Q18"":1,""Q19"":1}","Scared,Ashamed,Inspired,Guilty,Afraid,Proud,Interested,Attentive,Nervous,Active,Excited,Alert,Upset,Hostile,Jittery,Determined,Strong,Irritable,Enthusiastic,Distressed"
"4149","<div style='word-wrap: break-word; width: 900px'><h3>Start part 2</h3><p>You will see a serious of black and white images. Please pay close attention to the objects in the images because you'll need to remember them afterwards. You do not need to respond to the images, just passively look at them.</p><p>Press any key to start the second part of the experiment.</p></div>","77","instructions","html-keyboard-response","4","77974","0.0-4.0","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","5","78187","0.0-5.0-0.0","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"","","","reveal","animate-transparency","6","82204","0.0-5.0-1.0","56bdd0efef423f0006cbd833","0","mooneymood","531705","","[]",""
"null","img/tt/0756tt.jpg","null","mooney","image-keyboard-response","7","82716","0.0-5.0-2.0","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","8","82918","0.0-5.0-0.1","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"","","","reveal","animate-transparency","9","86927","0.0-5.0-1.1","56bdd0efef423f0006cbd833","0","mooneymood","531705","","[]",""
"null","img/tt/0497tt.jpg","null","mooney","image-keyboard-response","10","87442","0.0-5.0-2.1","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","11","87655","0.0-5.0-0.2","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"","","","reveal","animate-transparency","12","91655","0.0-5.0-1.2","56bdd0efef423f0006cbd833","0","mooneymood","531705","","[]",""
"null","img/tt/0383tt.jpg","null","mooney","image-keyboard-response","13","92173","0.0-5.0-2.2","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","14","92383","0.0-5.0-0.3","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"","","","reveal","animate-transparency","15","96408","0.0-5.0-1.3","56bdd0efef423f0006cbd833","0","mooneymood","531705","","[]",""
"null","img/tt/0227tt.jpg","null","mooney","image-keyboard-response","16","96928","0.0-5.0-2.3","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","17","97141","0.0-5.0-0.4","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"","","","reveal","animate-transparency","18","101159","0.0-5.0-1.4","56bdd0efef423f0006cbd833","0","mooneymood","531705","","[]",""
"null","img/tt/0351tt.jpg","null","mooney","image-keyboard-response","19","101670","0.0-5.0-2.4","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","20","101874","0.0-5.0-0.5","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"","","","reveal","animate-transparency","21","105884","0.0-5.0-1.5","56bdd0efef423f0006cbd833","0","mooneymood","531705","","[]",""
"null","img/tt/0053tt.jpg","null","mooney","image-keyboard-response","22","106396","0.0-5.0-2.5","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","23","106604","0.0-5.0-0.6","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"","","","reveal","animate-transparency","24","110609","0.0-5.0-1.6","56bdd0efef423f0006cbd833","0","mooneymood","531705","","[]",""
"null","img/tt/0246tt.jpg","null","mooney","image-keyboard-response","25","111123","0.0-5.0-2.6","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","26","111336","0.0-5.0-0.7","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"","","","reveal","animate-transparency","27","115354","0.0-5.0-1.7","56bdd0efef423f0006cbd833","0","mooneymood","531705","","[]",""
"null","img/tt/0352tt.jpg","null","mooney","image-keyboard-response","28","115851","0.0-5.0-2.7","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","29","116064","0.0-5.0-0.8","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"","","","reveal","animate-transparency","30","120079","0.0-5.0-1.8","56bdd0efef423f0006cbd833","0","mooneymood","531705","","[]",""
"null","img/tt/0492tt.jpg","null","mooney","image-keyboard-response","31","120593","0.0-5.0-2.8","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","32","120796","0.0-5.0-0.9","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"","","","reveal","animate-transparency","33","124804","0.0-5.0-1.9","56bdd0efef423f0006cbd833","0","mooneymood","531705","","[]",""
"null","img/tt/0819tt.jpg","null","mooney","image-keyboard-response","34","125319","0.0-5.0-2.9","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","35","125532","0.0-5.0-0.10","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"","","","reveal","animate-transparency","36","129549","0.0-5.0-1.10","56bdd0efef423f0006cbd833","0","mooneymood","531705","","[]",""
"null","img/tt/0251tt.jpg","null","mooney","image-keyboard-response","37","130047","0.0-5.0-2.10","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","38","130259","0.0-5.0-0.11","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"","","","reveal","animate-transparency","39","134274","0.0-5.0-1.11","56bdd0efef423f0006cbd833","0","mooneymood","531705","","[]",""
"null","img/tt/0094tt.jpg","null","mooney","image-keyboard-response","40","134789","0.0-5.0-2.11","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","41","134992","0.0-5.0-0.12","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"","","","reveal","animate-transparency","42","139003","0.0-5.0-1.12","56bdd0efef423f0006cbd833","0","mooneymood","531705","","[]",""
"null","img/tt/0729tt.jpg","null","mooney","image-keyboard-response","43","139515","0.0-5.0-2.12","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","44","139718","0.0-5.0-0.13","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"","","","reveal","animate-transparency","45","143727","0.0-5.0-1.13","56bdd0efef423f0006cbd833","0","mooneymood","531705","","[]",""
"null","img/tt/0337tt.jpg","null","mooney","image-keyboard-response","46","144242","0.0-5.0-2.13","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","47","144455","0.0-5.0-0.14","56bdd0efef423f0006cbd833","0","mooneymood","531705","","",""
