"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","experiment_name","totalTime","button_pressed","responses","order"
"11922","Welcome to the experiment. Press any key to begin.","32","instructions","html-keyboard-response","0","11924","0.0-0.0","56e6a66af6ed900006a5867c","0","mooneymood","592912","","",""
"9141","<div style='word-wrap: break-word; width: 900px'><h3>Please consider this information carefully before deciding whether to participate in this research</h3><ul style='text-align: left; font-size: .8em;'><li><b>Time required</b>: Participation will take between 15 and 45 minutes to complete.</li><li><b>Risks</b>:  There are no anticipated risks associated with participating in this study. The effects of participating should be comparable to those you would experience from viewing a computer monitor for 30 minutes and using a mouse or keyboard.</li><li><b>Benefits</b>:  This study provides no benefits to you individually except for the monetary reward. The study provides important information about the nature of perception and learning.</li><li><b>Confidentiality</b>:  Your participation in this study will remain confidential. No personally identifiable information will be associated with your data. Your de-identified data may be shared with other researchers and used in future projects.</li><li><b>Participation and withdrawal</b>:  Your participation in this study is completely voluntary and you may refuse to participate or you may choose to withdraw at any time without penalty.</li><li><b>How to contact the researchers</b>: If you have questions or concerns about your participation or payment, or want to request a summary of research findings, please contact Sander Van de Cruys (KU Leuven), at sander.vandecruys@kuleuven.be.</li></ul><p>The nature and purpose of this research have been sufficiently explained and I agree to participate in this study.  I understand that I am free to withdraw at any time without incurring any penalty.</p><p>Please consent by clicking the button below to continue. Otherwise, please exit the study at this time.</p></div>","","instructions","html-button-response","1","21066","0.0-1.0","56e6a66af6ed900006a5867c","0","mooneymood","592912","0","",""
"18434","<div style='word-wrap: break-word; width: 900px'><h3>Instructions: read carefully!</h3><p>This is a memory experiment that consists of 3 short parts. In the first part you'll have to fill in a brief emotion-questionnaire. In the second part you'll see a series of black and white images, that you'll have to try to remember in the last part.</p><p>Please complete each task immediately after the other. The experiment will only take about 10 minutes in total.</p><p>Press enter to start the first part of the experiment.</p></div>","","instructions","html-button-response","2","39500","0.0-2.0","56e6a66af6ed900006a5867c","0","mooneymood","592912","0","",""
"58094","","","panas_questionnaire","survey-likert","3","97599","0.0-3.0","56e6a66af6ed900006a5867c","0","mooneymood","592912","","{""Q0"":1,""Q1"":0,""Q2"":0,""Q3"":1,""Q4"":1,""Q5"":3,""Q6"":1,""Q7"":2,""Q8"":3,""Q9"":0,""Q10"":2,""Q11"":3,""Q12"":1,""Q13"":3,""Q14"":1,""Q15"":3,""Q16"":4,""Q17"":0,""Q18"":3,""Q19"":0}","Active,Jittery,Ashamed,Hostile,Enthusiastic,Determined,Excited,Irritable,Interested,Afraid,Upset,Alert,Inspired,Distressed,Nervous,Strong,Attentive,Scared,Proud,Guilty"
"8868","<div style='word-wrap: break-word; width: 900px'><h3>Start part 2</h3><p>You will see a serious of black and white images. Please pay close attention to the objects in the images because you'll need to remember them afterwards. You do not need to respond to the images, just passively look at them.</p><p>Press any key to start the second part of the experiment.</p></div>","32","instructions","html-keyboard-response","4","106467","0.0-4.0","56e6a66af6ed900006a5867c","0","mooneymood","592912","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","5","106669","0.0-5.0-0.0","56e6a66af6ed900006a5867c","0","mooneymood","592912","","",""
"","","","reveal","animate-transparency","6","110862","0.0-5.0-1.0","56e6a66af6ed900006a5867c","0","mooneymood","592912","","[]",""
"null","img/tt/0361tt.jpg","null","mooney","image-keyboard-response","7","111366","0.0-5.0-2.0","56e6a66af6ed900006a5867c","0","mooneymood","592912","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","8","111567","0.0-5.0-0.1","56e6a66af6ed900006a5867c","0","mooneymood","592912","","",""
"","","","reveal","animate-transparency","9","115628","0.0-5.0-1.1","56e6a66af6ed900006a5867c","0","mooneymood","592912","","[]",""
"null","img/tt/0332tt.jpg","null","mooney","image-keyboard-response","10","116131","0.0-5.0-2.1","56e6a66af6ed900006a5867c","0","mooneymood","592912","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","11","116331","0.0-5.0-0.2","56e6a66af6ed900006a5867c","0","mooneymood","592912","","",""
"","","","reveal","animate-transparency","12","120629","0.0-5.0-1.2","56e6a66af6ed900006a5867c","0","mooneymood","592912","","[]",""
"null","img/tt/0038tt.jpg","null","mooney","image-keyboard-response","13","121131","0.0-5.0-2.2","56e6a66af6ed900006a5867c","0","mooneymood","592912","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","14","121332","0.0-5.0-0.3","56e6a66af6ed900006a5867c","0","mooneymood","592912","","",""
"","","","reveal","animate-transparency","15","125334","0.0-5.0-1.3","56e6a66af6ed900006a5867c","0","mooneymood","592912","","[]",""
"null","img/tt/0698tt.jpg","null","mooney","image-keyboard-response","16","126629","0.0-5.0-2.3","56e6a66af6ed900006a5867c","0","mooneymood","592912","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","17","126848","0.0-5.0-0.4","56e6a66af6ed900006a5867c","0","mooneymood","592912","","",""
"","","","reveal","animate-transparency","18","130850","0.0-5.0-1.4","56e6a66af6ed900006a5867c","0","mooneymood","592912","","[]",""
"null","img/tt/0057tt.jpg","null","mooney","image-keyboard-response","19","131352","0.0-5.0-2.4","56e6a66af6ed900006a5867c","0","mooneymood","592912","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","20","131553","0.0-5.0-0.5","56e6a66af6ed900006a5867c","0","mooneymood","592912","","",""
