"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","experiment_name","totalTime","button_pressed","responses","order"
"3190","Welcome to the experiment. Press any key to begin.","75","instructions","html-keyboard-response","0","3193","0.0-0.0","57fe48c390de420001673796","180","mooneymood","274748","","",""
"24552","<div style='word-wrap: break-word; width: 900px'><h3>Please consider this information carefully before deciding whether to participate in this research</h3><ul style='text-align: left; font-size: .8em;'><li><b>Time required</b>: Participation will take between 15 and 45 minutes to complete.</li><li><b>Risks</b>:  There are no anticipated risks associated with participating in this study. The effects of participating should be comparable to those you would experience from viewing a computer monitor for 30 minutes and using a mouse or keyboard.</li><li><b>Benefits</b>:  This study provides no benefits to you individually except for the monetary reward. The study provides important information about the nature of perception and learning.</li><li><b>Confidentiality</b>:  Your participation in this study will remain confidential. No personally identifiable information will be associated with your data. Your de-identified data may be shared with other researchers and used in future projects.</li><li><b>Participation and withdrawal</b>:  Your participation in this study is completely voluntary and you may refuse to participate or you may choose to withdraw at any time without penalty.</li><li><b>How to contact the researchers</b>: If you have questions or concerns about your participation or payment, or want to request a summary of research findings, please contact Sander Van de Cruys (KU Leuven), at sander.vandecruys@kuleuven.be.</li></ul><p>The nature and purpose of this research have been sufficiently explained and I agree to participate in this study.  I understand that I am free to withdraw at any time without incurring any penalty.</p><p>Please consent by clicking the button below to continue. Otherwise, please exit the study at this time.</p></div>","","instructions","html-button-response","1","27746","0.0-1.0","57fe48c390de420001673796","180","mooneymood","274748","0","",""
"9423","<div style='word-wrap: break-word; width: 900px'><h3>Instructions: read carefully!</h3><p>This is a memory experiment that consists of 3 short parts. In the first part you'll have to fill in a brief emotion-questionnaire. In the second part you'll see a series of black and white images, that you'll have to try to remember in the last part.</p><p>Please complete each task immediately after the other. The experiment will only take about 10 minutes in total.</p><p>Press enter to start the first part of the experiment.</p></div>","","instructions","html-button-response","2","37170","0.0-2.0","57fe48c390de420001673796","180","mooneymood","274748","0","",""
"62529","","","panas_questionnaire","survey-likert","3","99703","0.0-3.0","57fe48c390de420001673796","180","mooneymood","274748","","{""Q0"":1,""Q1"":0,""Q2"":0,""Q3"":1,""Q4"":1,""Q5"":2,""Q6"":1,""Q7"":0,""Q8"":1,""Q9"":1,""Q10"":1,""Q11"":1,""Q12"":0,""Q13"":0,""Q14"":1,""Q15"":1,""Q16"":2,""Q17"":0,""Q18"":1,""Q19"":0}","Attentive,Ashamed,Hostile,Distressed,Afraid,Determined,Nervous,Guilty,Excited,Enthusiastic,Jittery,Upset,Inspired,Irritable,Scared,Alert,Active,Proud,Interested,Strong"
"8529","<div style='word-wrap: break-word; width: 900px'><h3>Start part 2</h3><p>You will see a serious of black and white images. Please pay close attention to the objects in the images because you'll need to remember them afterwards. You do not need to respond to the images, just passively look at them.</p><p>Press any key to start the second part of the experiment.</p></div>","75","instructions","html-keyboard-response","4","108234","0.0-4.0","57fe48c390de420001673796","180","mooneymood","274748","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","5","108436","0.0-5.0-0.0","57fe48c390de420001673796","180","mooneymood","274748","","",""
"","","","reveal","animate-transparency","6","112441","0.0-5.0-1.0","57fe48c390de420001673796","180","mooneymood","274748","","[]",""
"null","img/tt/0360tt.jpg","null","mooney","image-keyboard-response","7","112944","0.0-5.0-2.0","57fe48c390de420001673796","180","mooneymood","274748","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","8","113147","0.0-5.0-0.1","57fe48c390de420001673796","180","mooneymood","274748","","",""
"","","","reveal","animate-transparency","9","117149","0.0-5.0-1.1","57fe48c390de420001673796","180","mooneymood","274748","","[]",""
