"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","experiment_name","totalTime","button_pressed","responses","order"
"3364","Welcome to the experiment. Press any key to begin.","32","instructions","html-keyboard-response","0","3366","0.0-0.0","580618c894364b00011f46c2","180","mooneymood","318286","","",""
"32373","<div style='word-wrap: break-word; width: 900px'><h3>Please consider this information carefully before deciding whether to participate in this research</h3><ul style='text-align: left; font-size: .8em;'><li><b>Time required</b>: Participation will take between 15 and 45 minutes to complete.</li><li><b>Risks</b>:  There are no anticipated risks associated with participating in this study. The effects of participating should be comparable to those you would experience from viewing a computer monitor for 30 minutes and using a mouse or keyboard.</li><li><b>Benefits</b>:  This study provides no benefits to you individually except for the monetary reward. The study provides important information about the nature of perception and learning.</li><li><b>Confidentiality</b>:  Your participation in this study will remain confidential. No personally identifiable information will be associated with your data. Your de-identified data may be shared with other researchers and used in future projects.</li><li><b>Participation and withdrawal</b>:  Your participation in this study is completely voluntary and you may refuse to participate or you may choose to withdraw at any time without penalty.</li><li><b>How to contact the researchers</b>: If you have questions or concerns about your participation or payment, or want to request a summary of research findings, please contact Sander Van de Cruys (KU Leuven), at sander.vandecruys@kuleuven.be.</li></ul><p>The nature and purpose of this research have been sufficiently explained and I agree to participate in this study.  I understand that I am free to withdraw at any time without incurring any penalty.</p><p>Please consent by clicking the button below to continue. Otherwise, please exit the study at this time.</p></div>","","instructions","html-button-response","1","35740","0.0-1.0","580618c894364b00011f46c2","180","mooneymood","318286","0","",""
"15646","<div style='word-wrap: break-word; width: 900px'><h3>Instructions: read carefully!</h3><p>This is a memory experiment that consists of 3 short parts. In the first part you'll have to fill in a brief emotion-questionnaire. In the second part you'll see a series of black and white images, that you'll have to try to remember in the last part.</p><p>Please complete each task immediately after the other. The experiment will only take about 10 minutes in total.</p><p>Press enter to start the first part of the experiment.</p></div>","","instructions","html-button-response","2","51387","0.0-2.0","580618c894364b00011f46c2","180","mooneymood","318286","0","",""
"62078","","","panas_questionnaire","survey-likert","3","113469","0.0-3.0","580618c894364b00011f46c2","180","mooneymood","318286","","{""Q0"":0,""Q1"":0,""Q2"":1,""Q3"":1,""Q4"":1,""Q5"":1,""Q6"":1,""Q7"":0,""Q8"":1,""Q9"":3,""Q10"":1,""Q11"":1,""Q12"":1,""Q13"":1,""Q14"":1,""Q15"":1,""Q16"":3,""Q17"":1,""Q18"":1,""Q19"":1}","Active,Determined,Distressed,Afraid,Excited,Scared,Proud,Strong,Inspired,Nervous,Enthusiastic,Hostile,Attentive,Interested,Guilty,Upset,Irritable,Ashamed,Alert,Jittery"
"7034","<div style='word-wrap: break-word; width: 900px'><h3>Start part 2</h3><p>You will see a serious of black and white images. Please pay close attention to the objects in the images because you'll need to remember them afterwards. You do not need to respond to the images, just passively look at them.</p><p>Press any key to start the second part of the experiment.</p></div>","32","instructions","html-keyboard-response","4","120504","0.0-4.0","580618c894364b00011f46c2","180","mooneymood","318286","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","5","120704","0.0-5.0-0.0","580618c894364b00011f46c2","180","mooneymood","318286","","",""
"","","","reveal","animate-transparency","6","124708","0.0-5.0-1.0","580618c894364b00011f46c2","180","mooneymood","318286","","[]",""
"null","img/tt/0303tt.jpg","null","mooney","image-keyboard-response","7","125210","0.0-5.0-2.0","580618c894364b00011f46c2","180","mooneymood","318286","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","8","125411","0.0-5.0-0.1","580618c894364b00011f46c2","180","mooneymood","318286","","",""
"","","","reveal","animate-transparency","9","129412","0.0-5.0-1.1","580618c894364b00011f46c2","180","mooneymood","318286","","[]",""
"null","img/tt/0683tt.jpg","null","mooney","image-keyboard-response","10","129912","0.0-5.0-2.1","580618c894364b00011f46c2","180","mooneymood","318286","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","11","130114","0.0-5.0-0.2","580618c894364b00011f46c2","180","mooneymood","318286","","",""
"","","","reveal","animate-transparency","12","134115","0.0-5.0-1.2","580618c894364b00011f46c2","180","mooneymood","318286","","[]",""
"null","img/tt/0731tt.jpg","null","mooney","image-keyboard-response","13","134615","0.0-5.0-2.2","580618c894364b00011f46c2","180","mooneymood","318286","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","14","134817","0.0-5.0-0.3","580618c894364b00011f46c2","180","mooneymood","318286","","",""
"","","","reveal","animate-transparency","15","138817","0.0-5.0-1.3","580618c894364b00011f46c2","180","mooneymood","318286","","[]",""
"null","img/tt/0175tt.jpg","null","mooney","image-keyboard-response","16","139319","0.0-5.0-2.3","580618c894364b00011f46c2","180","mooneymood","318286","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","17","139520","0.0-5.0-0.4","580618c894364b00011f46c2","180","mooneymood","318286","","",""
"","","","reveal","animate-transparency","18","143521","0.0-5.0-1.4","580618c894364b00011f46c2","180","mooneymood","318286","","[]",""
"null","img/tt/0283tt.jpg","null","mooney","image-keyboard-response","19","144022","0.0-5.0-2.4","580618c894364b00011f46c2","180","mooneymood","318286","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","20","144223","0.0-5.0-0.5","580618c894364b00011f46c2","180","mooneymood","318286","","",""
"","","","reveal","animate-transparency","21","148224","0.0-5.0-1.5","580618c894364b00011f46c2","180","mooneymood","318286","","[]",""
"null","img/tt/0606tt.jpg","null","mooney","image-keyboard-response","22","148725","0.0-5.0-2.5","580618c894364b00011f46c2","180","mooneymood","318286","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","23","148926","0.0-5.0-0.6","580618c894364b00011f46c2","180","mooneymood","318286","","",""
"","","","reveal","animate-transparency","24","152928","0.0-5.0-1.6","580618c894364b00011f46c2","180","mooneymood","318286","","[]",""
"null","img/tt/0772tt.jpg","null","mooney","image-keyboard-response","25","153429","0.0-5.0-2.6","580618c894364b00011f46c2","180","mooneymood","318286","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","26","153629","0.0-5.0-0.7","580618c894364b00011f46c2","180","mooneymood","318286","","",""
"","","","reveal","animate-transparency","27","157633","0.0-5.0-1.7","580618c894364b00011f46c2","180","mooneymood","318286","","[]",""
"null","img/tt/0330tt.jpg","null","mooney","image-keyboard-response","28","158134","0.0-5.0-2.7","580618c894364b00011f46c2","180","mooneymood","318286","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","29","158334","0.0-5.0-0.8","580618c894364b00011f46c2","180","mooneymood","318286","","",""
"","","","reveal","animate-transparency","30","162336","0.0-5.0-1.8","580618c894364b00011f46c2","180","mooneymood","318286","","[]",""
