"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","experiment_name","totalTime","button_pressed","responses","order"
"1608","Welcome to the experiment. Press any key to begin.","32","instructions","html-keyboard-response","0","1619","0.0-0.0","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"12622","<div style='word-wrap: break-word; width: 900px'><h3>Please consider this information carefully before deciding whether to participate in this research</h3><ul style='text-align: left; font-size: .8em;'><li><b>Time required</b>: Participation will take between 15 and 45 minutes to complete.</li><li><b>Risks</b>:  There are no anticipated risks associated with participating in this study. The effects of participating should be comparable to those you would experience from viewing a computer monitor for 30 minutes and using a mouse or keyboard.</li><li><b>Benefits</b>:  This study provides no benefits to you individually except for the monetary reward. The study provides important information about the nature of perception and learning.</li><li><b>Confidentiality</b>:  Your participation in this study will remain confidential. No personally identifiable information will be associated with your data. Your de-identified data may be shared with other researchers and used in future projects.</li><li><b>Participation and withdrawal</b>:  Your participation in this study is completely voluntary and you may refuse to participate or you may choose to withdraw at any time without penalty.</li><li><b>How to contact the researchers</b>: If you have questions or concerns about your participation or payment, or want to request a summary of research findings, please contact Sander Van de Cruys (KU Leuven), at sander.vandecruys@kuleuven.be.</li></ul><p>The nature and purpose of this research have been sufficiently explained and I agree to participate in this study.  I understand that I am free to withdraw at any time without incurring any penalty.</p><p>Please consent by clicking the button below to continue. Otherwise, please exit the study at this time.</p></div>","","instructions","html-button-response","1","14249","0.0-1.0","5880f713ab00f60001923541","180","mooneymood","368086","0","",""
"15882","<div style='word-wrap: break-word; width: 900px'><h3>Instructions: read carefully!</h3><p>This is a memory experiment that consists of 3 short parts. In the first part you'll have to fill in a brief emotion-questionnaire. In the second part you'll see a series of black and white images, that you'll have to try to remember in the last part.</p><p>Please complete each task immediately after the other. The experiment will only take about 10 minutes in total.</p><p>Press enter to start the first part of the experiment.</p></div>","","instructions","html-button-response","2","30134","0.0-2.0","5880f713ab00f60001923541","180","mooneymood","368086","0","",""
"60429","","","panas_questionnaire","survey-likert","3","90584","0.0-3.0","5880f713ab00f60001923541","180","mooneymood","368086","","{""Q0"":0,""Q1"":1,""Q2"":3,""Q3"":2,""Q4"":2,""Q5"":0,""Q6"":3,""Q7"":2,""Q8"":0,""Q9"":0,""Q10"":2,""Q11"":0,""Q12"":0,""Q13"":0,""Q14"":0,""Q15"":3,""Q16"":2,""Q17"":3,""Q18"":0,""Q19"":3}","Distressed,Irritable,Alert,Excited,Inspired,Jittery,Interested,Enthusiastic,Upset,Hostile,Strong,Afraid,Guilty,Ashamed,Nervous,Determined,Proud,Active,Scared,Attentive"
"7273","<div style='word-wrap: break-word; width: 900px'><h3>Start part 2</h3><p>You will see a serious of black and white images. Please pay close attention to the objects in the images because you'll need to remember them afterwards. You do not need to respond to the images, just passively look at them.</p><p>Press any key to start the second part of the experiment.</p></div>","32","instructions","html-keyboard-response","4","97859","0.0-4.0","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","5","98074","0.0-5.0-0.0","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"","","","reveal","animate-transparency","6","102081","0.0-5.0-1.0","5880f713ab00f60001923541","180","mooneymood","368086","","[]",""
"null","img/tt/0703tt.jpg","null","mooney","image-keyboard-response","7","102614","0.0-5.0-2.0","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","8","102830","0.0-5.0-0.1","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"","","","reveal","animate-transparency","9","106846","0.0-5.0-1.1","5880f713ab00f60001923541","180","mooneymood","368086","","[]",""
"null","img/tt/0230tt.jpg","null","mooney","image-keyboard-response","10","107363","0.0-5.0-2.1","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","11","107580","0.0-5.0-0.2","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"","","","reveal","animate-transparency","12","111597","0.0-5.0-1.2","5880f713ab00f60001923541","180","mooneymood","368086","","[]",""
"null","img/tt/0795tt.jpg","null","mooney","image-keyboard-response","13","112113","0.0-5.0-2.2","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","14","112329","0.0-5.0-0.3","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"","","","reveal","animate-transparency","15","116347","0.0-5.0-1.3","5880f713ab00f60001923541","180","mooneymood","368086","","[]",""
"null","img/tt/0370tt.jpg","null","mooney","image-keyboard-response","16","116862","0.0-5.0-2.3","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","17","117078","0.0-5.0-0.4","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"","","","reveal","animate-transparency","18","121095","0.0-5.0-1.4","5880f713ab00f60001923541","180","mooneymood","368086","","[]",""
"null","img/tt/0145tt.jpg","null","mooney","image-keyboard-response","19","121612","0.0-5.0-2.4","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","20","121828","0.0-5.0-0.5","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"","","","reveal","animate-transparency","21","125846","0.0-5.0-1.5","5880f713ab00f60001923541","180","mooneymood","368086","","[]",""
"null","img/tt/0234tt.jpg","null","mooney","image-keyboard-response","22","126362","0.0-5.0-2.5","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","23","126578","0.0-5.0-0.6","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"","","","reveal","animate-transparency","24","130594","0.0-5.0-1.6","5880f713ab00f60001923541","180","mooneymood","368086","","[]",""
"null","img/tt/0551tt.jpg","null","mooney","image-keyboard-response","25","131111","0.0-5.0-2.6","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","26","131331","0.0-5.0-0.7","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"","","","reveal","animate-transparency","27","135344","0.0-5.0-1.7","5880f713ab00f60001923541","180","mooneymood","368086","","[]",""
"null","img/tt/0541tt.jpg","null","mooney","image-keyboard-response","28","135861","0.0-5.0-2.7","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","29","136078","0.0-5.0-0.8","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"","","","reveal","animate-transparency","30","140094","0.0-5.0-1.8","5880f713ab00f60001923541","180","mooneymood","368086","","[]",""
"null","img/tt/0589tt.jpg","null","mooney","image-keyboard-response","31","140611","0.0-5.0-2.8","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","32","140827","0.0-5.0-0.9","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"","","","reveal","animate-transparency","33","144828","0.0-5.0-1.9","5880f713ab00f60001923541","180","mooneymood","368086","","[]",""
"null","img/tt/0021tt.jpg","null","mooney","image-keyboard-response","34","145343","0.0-5.0-2.9","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","35","145560","0.0-5.0-0.10","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"","","","reveal","animate-transparency","36","149577","0.0-5.0-1.10","5880f713ab00f60001923541","180","mooneymood","368086","","[]",""
"null","img/tt/0151tt.jpg","null","mooney","image-keyboard-response","37","150093","0.0-5.0-2.10","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","38","150294","0.0-5.0-0.11","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"","","","reveal","animate-transparency","39","154310","0.0-5.0-1.11","5880f713ab00f60001923541","180","mooneymood","368086","","[]",""
"null","img/tt/0578tt.jpg","null","mooney","image-keyboard-response","40","154826","0.0-5.0-2.11","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","41","155042","0.0-5.0-0.12","5880f713ab00f60001923541","180","mooneymood","368086","","",""
"","","","reveal","animate-transparency","42","159060","0.0-5.0-1.12","5880f713ab00f60001923541","180","mooneymood","368086","","[]",""
"null","img/tt/0657tt.jpg","null","mooney","image-keyboard-response","43","159576","0.0-5.0-2.12","5880f713ab00f60001923541","180","mooneymood","368086","","",""
