"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","experiment_name","totalTime","button_pressed","responses","order"
"2801","Welcome to the experiment. Press any key to begin.","13","instructions","html-keyboard-response","0","2805","0.0-0.0","58a474be34fcb30001053c74","0","mooneymood","383310","","",""
"15448","<div style='word-wrap: break-word; width: 900px'><h3>Please consider this information carefully before deciding whether to participate in this research</h3><ul style='text-align: left; font-size: .8em;'><li><b>Time required</b>: Participation will take between 15 and 45 minutes to complete.</li><li><b>Risks</b>:  There are no anticipated risks associated with participating in this study. The effects of participating should be comparable to those you would experience from viewing a computer monitor for 30 minutes and using a mouse or keyboard.</li><li><b>Benefits</b>:  This study provides no benefits to you individually except for the monetary reward. The study provides important information about the nature of perception and learning.</li><li><b>Confidentiality</b>:  Your participation in this study will remain confidential. No personally identifiable information will be associated with your data. Your de-identified data may be shared with other researchers and used in future projects.</li><li><b>Participation and withdrawal</b>:  Your participation in this study is completely voluntary and you may refuse to participate or you may choose to withdraw at any time without penalty.</li><li><b>How to contact the researchers</b>: If you have questions or concerns about your participation or payment, or want to request a summary of research findings, please contact Sander Van de Cruys (KU Leuven), at sander.vandecruys@kuleuven.be.</li></ul><p>The nature and purpose of this research have been sufficiently explained and I agree to participate in this study.  I understand that I am free to withdraw at any time without incurring any penalty.</p><p>Please consent by clicking the button below to continue. Otherwise, please exit the study at this time.</p></div>","","instructions","html-button-response","1","18255","0.0-1.0","58a474be34fcb30001053c74","0","mooneymood","383310","0","",""
"28143","<div style='word-wrap: break-word; width: 900px'><h3>Instructions: read carefully!</h3><p>This is a memory experiment that consists of 3 short parts. In the first part you'll have to fill in a brief emotion-questionnaire. In the second part you'll see a series of black and white images, that you'll have to try to remember in the last part.</p><p>Please complete each task immediately after the other. The experiment will only take about 10 minutes in total.</p><p>Press enter to start the first part of the experiment.</p></div>","","instructions","html-button-response","2","46398","0.0-2.0","58a474be34fcb30001053c74","0","mooneymood","383310","0","",""
"62796","","","panas_questionnaire","survey-likert","3","109202","0.0-3.0","58a474be34fcb30001053c74","0","mooneymood","383310","","{""Q0"":1,""Q1"":1,""Q2"":1,""Q3"":0,""Q4"":2,""Q5"":1,""Q6"":0,""Q7"":0,""Q8"":3,""Q9"":2,""Q10"":2,""Q11"":1,""Q12"":2,""Q13"":2,""Q14"":2,""Q15"":2,""Q16"":3,""Q17"":3,""Q18"":3,""Q19"":2}","Guilty,Hostile,Afraid,Ashamed,Nervous,Irritable,Scared,Distressed,Excited,Interested,Attentive,Upset,Inspired,Enthusiastic,Alert,Determined,Active,Jittery,Strong,Proud"
"5993","<div style='word-wrap: break-word; width: 900px'><h3>Start part 2</h3><p>You will see a serious of black and white images. Please pay close attention to the objects in the images because you'll need to remember them afterwards. You do not need to respond to the images, just passively look at them.</p><p>Press any key to start the second part of the experiment.</p></div>","32","instructions","html-keyboard-response","4","115196","0.0-4.0","58a474be34fcb30001053c74","0","mooneymood","383310","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","5","115400","0.0-5.0-0.0","58a474be34fcb30001053c74","0","mooneymood","383310","","",""
"","","","reveal","animate-transparency","6","119405","0.0-5.0-1.0","58a474be34fcb30001053c74","0","mooneymood","383310","","[]",""
"null","img/tt/0231tt.jpg","null","mooney","image-keyboard-response","7","119909","0.0-5.0-2.0","58a474be34fcb30001053c74","0","mooneymood","383310","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","8","120113","0.0-5.0-0.1","58a474be34fcb30001053c74","0","mooneymood","383310","","",""
"","","","reveal","animate-transparency","9","124116","0.0-5.0-1.1","58a474be34fcb30001053c74","0","mooneymood","383310","","[]",""
"null","img/tt/0664tt.jpg","null","mooney","image-keyboard-response","10","124620","0.0-5.0-2.1","58a474be34fcb30001053c74","0","mooneymood","383310","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","11","124821","0.0-5.0-0.2","58a474be34fcb30001053c74","0","mooneymood","383310","","",""
"","","","reveal","animate-transparency","12","128823","0.0-5.0-1.2","58a474be34fcb30001053c74","0","mooneymood","383310","","[]",""
"null","img/tt/0708tt.jpg","null","mooney","image-keyboard-response","13","129327","0.0-5.0-2.2","58a474be34fcb30001053c74","0","mooneymood","383310","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","14","129528","0.0-5.0-0.3","58a474be34fcb30001053c74","0","mooneymood","383310","","",""
"","","","reveal","animate-transparency","15","133531","0.0-5.0-1.3","58a474be34fcb30001053c74","0","mooneymood","383310","","[]",""
"null","img/tt/0741tt.jpg","null","mooney","image-keyboard-response","16","134035","0.0-5.0-2.3","58a474be34fcb30001053c74","0","mooneymood","383310","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","17","134236","0.0-5.0-0.4","58a474be34fcb30001053c74","0","mooneymood","383310","","",""
