"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","experiment_name","totalTime","button_pressed","responses","order"
"2407","Welcome to the experiment. Press any key to begin.","32","instructions","html-keyboard-response","0","2409","0.0-0.0","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"13665","<div style='word-wrap: break-word; width: 900px'><h3>Please consider this information carefully before deciding whether to participate in this research</h3><ul style='text-align: left; font-size: .8em;'><li><b>Time required</b>: Participation will take between 15 and 45 minutes to complete.</li><li><b>Risks</b>:  There are no anticipated risks associated with participating in this study. The effects of participating should be comparable to those you would experience from viewing a computer monitor for 30 minutes and using a mouse or keyboard.</li><li><b>Benefits</b>:  This study provides no benefits to you individually except for the monetary reward. The study provides important information about the nature of perception and learning.</li><li><b>Confidentiality</b>:  Your participation in this study will remain confidential. No personally identifiable information will be associated with your data. Your de-identified data may be shared with other researchers and used in future projects.</li><li><b>Participation and withdrawal</b>:  Your participation in this study is completely voluntary and you may refuse to participate or you may choose to withdraw at any time without penalty.</li><li><b>How to contact the researchers</b>: If you have questions or concerns about your participation or payment, or want to request a summary of research findings, please contact Sander Van de Cruys (KU Leuven), at sander.vandecruys@kuleuven.be.</li></ul><p>The nature and purpose of this research have been sufficiently explained and I agree to participate in this study.  I understand that I am free to withdraw at any time without incurring any penalty.</p><p>Please consent by clicking the button below to continue. Otherwise, please exit the study at this time.</p></div>","","instructions","html-button-response","1","16074","0.0-1.0","591a1f4800a5650001276188","180","mooneymood","325386","0","",""
"14012","<div style='word-wrap: break-word; width: 900px'><h3>Instructions: read carefully!</h3><p>This is a memory experiment that consists of 3 short parts. In the first part you'll have to fill in a brief emotion-questionnaire. In the second part you'll see a series of black and white images, that you'll have to try to remember in the last part.</p><p>Please complete each task immediately after the other. The experiment will only take about 10 minutes in total.</p><p>Press enter to start the first part of the experiment.</p></div>","","instructions","html-button-response","2","30087","0.0-2.0","591a1f4800a5650001276188","180","mooneymood","325386","0","",""
"39654","","","panas_questionnaire","survey-likert","3","69759","0.0-3.0","591a1f4800a5650001276188","180","mooneymood","325386","","{""Q0"":3,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":3,""Q5"":2,""Q6"":1,""Q7"":2,""Q8"":0,""Q9"":1,""Q10"":0,""Q11"":0,""Q12"":2,""Q13"":0,""Q14"":2,""Q15"":1,""Q16"":0,""Q17"":1,""Q18"":0,""Q19"":2}","Determined,Hostile,Alert,Guilty,Interested,Excited,Jittery,Enthusiastic,Scared,Inspired,Distressed,Upset,Strong,Ashamed,Attentive,Nervous,Afraid,Proud,Irritable,Active"
"12347","<div style='word-wrap: break-word; width: 900px'><h3>Start part 2</h3><p>You will see a serious of black and white images. Please pay close attention to the objects in the images because you'll need to remember them afterwards. You do not need to respond to the images, just passively look at them.</p><p>Press any key to start the second part of the experiment.</p></div>","32","instructions","html-keyboard-response","4","82108","0.0-4.0","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","5","82309","0.0-5.0-0.0","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","6","86313","0.0-5.0-1.0","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0284tt.jpg","null","mooney","image-keyboard-response","7","86815","0.0-5.0-2.0","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","8","87017","0.0-5.0-0.1","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","9","91019","0.0-5.0-1.1","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0438tt.jpg","null","mooney","image-keyboard-response","10","91520","0.0-5.0-2.1","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","11","91721","0.0-5.0-0.2","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","12","95722","0.0-5.0-1.2","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0092tt.jpg","null","mooney","image-keyboard-response","13","96222","0.0-5.0-2.2","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","14","96424","0.0-5.0-0.3","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","15","100425","0.0-5.0-1.3","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0704tt.jpg","null","mooney","image-keyboard-response","16","100926","0.0-5.0-2.3","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","17","101127","0.0-5.0-0.4","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","18","105128","0.0-5.0-1.4","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0625tt.jpg","null","mooney","image-keyboard-response","19","105630","0.0-5.0-2.4","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","20","105831","0.0-5.0-0.5","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","21","109832","0.0-5.0-1.5","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0225tt.jpg","null","mooney","image-keyboard-response","22","110333","0.0-5.0-2.5","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","23","110535","0.0-5.0-0.6","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","24","114536","0.0-5.0-1.6","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0425tt.jpg","null","mooney","image-keyboard-response","25","115036","0.0-5.0-2.6","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","26","115238","0.0-5.0-0.7","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","27","119239","0.0-5.0-1.7","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0455tt.jpg","null","mooney","image-keyboard-response","28","119739","0.0-5.0-2.7","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","29","119939","0.0-5.0-0.8","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","30","123941","0.0-5.0-1.8","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0713tt.jpg","null","mooney","image-keyboard-response","31","124443","0.0-5.0-2.8","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","32","124645","0.0-5.0-0.9","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","33","128646","0.0-5.0-1.9","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0006tt.jpg","null","mooney","image-keyboard-response","34","129147","0.0-5.0-2.9","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","35","129347","0.0-5.0-0.10","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","36","133349","0.0-5.0-1.10","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0129tt.jpg","null","mooney","image-keyboard-response","37","133850","0.0-5.0-2.10","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","38","134050","0.0-5.0-0.11","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","39","138054","0.0-5.0-1.11","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0049tt.jpg","null","mooney","image-keyboard-response","40","138557","0.0-5.0-2.11","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","41","138757","0.0-5.0-0.12","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","42","142758","0.0-5.0-1.12","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0576tt.jpg","null","mooney","image-keyboard-response","43","143259","0.0-5.0-2.12","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","44","143460","0.0-5.0-0.13","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","45","147461","0.0-5.0-1.13","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0569tt.jpg","null","mooney","image-keyboard-response","46","147961","0.0-5.0-2.13","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","47","148165","0.0-5.0-0.14","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","48","152170","0.0-5.0-1.14","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0790tt.jpg","null","mooney","image-keyboard-response","49","152671","0.0-5.0-2.14","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","50","152872","0.0-5.0-0.15","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","51","156872","0.0-5.0-1.15","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0448tt.jpg","null","mooney","image-keyboard-response","52","157375","0.0-5.0-2.15","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","53","157575","0.0-5.0-0.16","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","54","161576","0.0-5.0-1.16","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0255tt.jpg","null","mooney","image-keyboard-response","55","162076","0.0-5.0-2.16","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","56","162278","0.0-5.0-0.17","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","57","166278","0.0-5.0-1.17","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0043tt.jpg","null","mooney","image-keyboard-response","58","166779","0.0-5.0-2.17","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","59","166980","0.0-5.0-0.18","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","60","170982","0.0-5.0-1.18","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0500tt.jpg","null","mooney","image-keyboard-response","61","171483","0.0-5.0-2.18","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","62","171684","0.0-5.0-0.19","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","63","175686","0.0-5.0-1.19","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0325tt.jpg","null","mooney","image-keyboard-response","64","176188","0.0-5.0-2.19","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","65","176389","0.0-5.0-0.20","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","66","180392","0.0-5.0-1.20","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0013tt.jpg","null","mooney","image-keyboard-response","67","180894","0.0-5.0-2.20","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","68","181094","0.0-5.0-0.21","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","69","185109","0.0-5.0-1.21","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0322tt.jpg","null","mooney","image-keyboard-response","70","185609","0.0-5.0-2.21","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","71","185810","0.0-5.0-0.22","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","72","189810","0.0-5.0-1.22","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0611tt.jpg","null","mooney","image-keyboard-response","73","190312","0.0-5.0-2.22","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","74","190513","0.0-5.0-0.23","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","75","194514","0.0-5.0-1.23","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0711tt.jpg","null","mooney","image-keyboard-response","76","195014","0.0-5.0-2.23","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","77","195216","0.0-5.0-0.24","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","78","199217","0.0-5.0-1.24","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0632tt.jpg","null","mooney","image-keyboard-response","79","199718","0.0-5.0-2.24","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","80","199919","0.0-5.0-0.25","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","81","203919","0.0-5.0-1.25","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0088tt.jpg","null","mooney","image-keyboard-response","82","204420","0.0-5.0-2.25","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","83","204622","0.0-5.0-0.26","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","84","208623","0.0-5.0-1.26","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0585tt.jpg","null","mooney","image-keyboard-response","85","209124","0.0-5.0-2.26","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","86","209325","0.0-5.0-0.27","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","87","213325","0.0-5.0-1.27","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0384tt.jpg","null","mooney","image-keyboard-response","88","213826","0.0-5.0-2.27","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","89","214026","0.0-5.0-0.28","591a1f4800a5650001276188","180","mooneymood","325386","","",""
"","","","reveal","animate-transparency","90","218026","0.0-5.0-1.28","591a1f4800a5650001276188","180","mooneymood","325386","","[]",""
"null","img/tt/0724tt.jpg","null","mooney","image-keyboard-response","91","218526","0.0-5.0-2.28","591a1f4800a5650001276188","180","mooneymood","325386","","",""
