"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","experiment_name","totalTime","button_pressed","responses","order"
"149914","Welcome to the experiment. Press any key to begin.","32","instructions","html-keyboard-response","0","149915","0.0-0.0","595e3c9efd57df0001544678","0","mooneymood","699491","","",""
"5287","<div style='word-wrap: break-word; width: 900px'><h3>Please consider this information carefully before deciding whether to participate in this research</h3><ul style='text-align: left; font-size: .8em;'><li><b>Time required</b>: Participation will take between 15 and 45 minutes to complete.</li><li><b>Risks</b>:  There are no anticipated risks associated with participating in this study. The effects of participating should be comparable to those you would experience from viewing a computer monitor for 30 minutes and using a mouse or keyboard.</li><li><b>Benefits</b>:  This study provides no benefits to you individually except for the monetary reward. The study provides important information about the nature of perception and learning.</li><li><b>Confidentiality</b>:  Your participation in this study will remain confidential. No personally identifiable information will be associated with your data. Your de-identified data may be shared with other researchers and used in future projects.</li><li><b>Participation and withdrawal</b>:  Your participation in this study is completely voluntary and you may refuse to participate or you may choose to withdraw at any time without penalty.</li><li><b>How to contact the researchers</b>: If you have questions or concerns about your participation or payment, or want to request a summary of research findings, please contact Sander Van de Cruys (KU Leuven), at sander.vandecruys@kuleuven.be.</li></ul><p>The nature and purpose of this research have been sufficiently explained and I agree to participate in this study.  I understand that I am free to withdraw at any time without incurring any penalty.</p><p>Please consent by clicking the button below to continue. Otherwise, please exit the study at this time.</p></div>","","instructions","html-button-response","1","155205","0.0-1.0","595e3c9efd57df0001544678","0","mooneymood","699491","0","",""
"140861","<div style='word-wrap: break-word; width: 900px'><h3>Instructions: read carefully!</h3><p>This is a memory experiment that consists of 3 short parts. In the first part you'll have to fill in a brief emotion-questionnaire. In the second part you'll see a series of black and white images, that you'll have to try to remember in the last part.</p><p>Please complete each task immediately after the other. The experiment will only take about 10 minutes in total.</p><p>Press enter to start the first part of the experiment.</p></div>","","instructions","html-button-response","2","296066","0.0-2.0","595e3c9efd57df0001544678","0","mooneymood","699491","0","",""
"54521","","","panas_questionnaire","survey-likert","3","350592","0.0-3.0","595e3c9efd57df0001544678","0","mooneymood","699491","","{""Q0"":2,""Q1"":2,""Q2"":0,""Q3"":1,""Q4"":0,""Q5"":1,""Q6"":0,""Q7"":0,""Q8"":0,""Q9"":0,""Q10"":0,""Q11"":3,""Q12"":0,""Q13"":0,""Q14"":2,""Q15"":0,""Q16"":2,""Q17"":0,""Q18"":0,""Q19"":0}","Active,Interested,Nervous,Irritable,Enthusiastic,Hostile,Inspired,Jittery,Excited,Determined,Ashamed,Alert,Guilty,Afraid,Strong,Scared,Attentive,Upset,Distressed,Proud"
"62865","<div style='word-wrap: break-word; width: 900px'><h3>Start part 2</h3><p>You will see a serious of black and white images. Please pay close attention to the objects in the images because you'll need to remember them afterwards. You do not need to respond to the images, just passively look at them.</p><p>Press any key to start the second part of the experiment.</p></div>","32","instructions","html-keyboard-response","4","413458","0.0-4.0","595e3c9efd57df0001544678","0","mooneymood","699491","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","5","413659","0.0-5.0-0.0","595e3c9efd57df0001544678","0","mooneymood","699491","","",""
"","","","reveal","animate-transparency","6","417662","0.0-5.0-1.0","595e3c9efd57df0001544678","0","mooneymood","699491","","[]",""
"null","img/tt/0026tt.jpg","null","mooney","image-keyboard-response","7","418163","0.0-5.0-2.0","595e3c9efd57df0001544678","0","mooneymood","699491","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","8","418365","0.0-5.0-0.1","595e3c9efd57df0001544678","0","mooneymood","699491","","",""
"","","","reveal","animate-transparency","9","422366","0.0-5.0-1.1","595e3c9efd57df0001544678","0","mooneymood","699491","","[]",""
"null","img/tt/0085tt.jpg","null","mooney","image-keyboard-response","10","422868","0.0-5.0-2.1","595e3c9efd57df0001544678","0","mooneymood","699491","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","11","423069","0.0-5.0-0.2","595e3c9efd57df0001544678","0","mooneymood","699491","","",""
"","","","reveal","animate-transparency","12","427071","0.0-5.0-1.2","595e3c9efd57df0001544678","0","mooneymood","699491","","[]",""
"null","img/tt/0783tt.jpg","null","mooney","image-keyboard-response","13","427572","0.0-5.0-2.2","595e3c9efd57df0001544678","0","mooneymood","699491","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","14","427772","0.0-5.0-0.3","595e3c9efd57df0001544678","0","mooneymood","699491","","",""
"","","","reveal","animate-transparency","15","431772","0.0-5.0-1.3","595e3c9efd57df0001544678","0","mooneymood","699491","","[]",""
"null","img/tt/0635tt.jpg","null","mooney","image-keyboard-response","16","432272","0.0-5.0-2.3","595e3c9efd57df0001544678","0","mooneymood","699491","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","17","432473","0.0-5.0-0.4","595e3c9efd57df0001544678","0","mooneymood","699491","","",""
"","","","reveal","animate-transparency","18","436474","0.0-5.0-1.4","595e3c9efd57df0001544678","0","mooneymood","699491","","[]",""
"null","img/tt/0646tt.jpg","null","mooney","image-keyboard-response","19","436974","0.0-5.0-2.4","595e3c9efd57df0001544678","0","mooneymood","699491","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","20","437176","0.0-5.0-0.5","595e3c9efd57df0001544678","0","mooneymood","699491","","",""
"","","","reveal","animate-transparency","21","441176","0.0-5.0-1.5","595e3c9efd57df0001544678","0","mooneymood","699491","","[]",""
"null","img/tt/0379tt.jpg","null","mooney","image-keyboard-response","22","441678","0.0-5.0-2.5","595e3c9efd57df0001544678","0","mooneymood","699491","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","23","441879","0.0-5.0-0.6","595e3c9efd57df0001544678","0","mooneymood","699491","","",""
"","","","reveal","animate-transparency","24","445879","0.0-5.0-1.6","595e3c9efd57df0001544678","0","mooneymood","699491","","[]",""
"null","img/tt/0478tt.jpg","null","mooney","image-keyboard-response","25","446379","0.0-5.0-2.6","595e3c9efd57df0001544678","0","mooneymood","699491","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","26","446580","0.0-5.0-0.7","595e3c9efd57df0001544678","0","mooneymood","699491","","",""
"","","","reveal","animate-transparency","27","450580","0.0-5.0-1.7","595e3c9efd57df0001544678","0","mooneymood","699491","","[]",""
"null","img/tt/0323tt.jpg","null","mooney","image-keyboard-response","28","451080","0.0-5.0-2.7","595e3c9efd57df0001544678","0","mooneymood","699491","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","29","451280","0.0-5.0-0.8","595e3c9efd57df0001544678","0","mooneymood","699491","","",""
"","","","reveal","animate-transparency","30","455281","0.0-5.0-1.8","595e3c9efd57df0001544678","0","mooneymood","699491","","[]",""
"null","img/tt/0150tt.jpg","null","mooney","image-keyboard-response","31","455782","0.0-5.0-2.8","595e3c9efd57df0001544678","0","mooneymood","699491","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","32","455982","0.0-5.0-0.9","595e3c9efd57df0001544678","0","mooneymood","699491","","",""
"","","","reveal","animate-transparency","33","459983","0.0-5.0-1.9","595e3c9efd57df0001544678","0","mooneymood","699491","","[]",""
"null","img/tt/0371tt.jpg","null","mooney","image-keyboard-response","34","460485","0.0-5.0-2.9","595e3c9efd57df0001544678","0","mooneymood","699491","","",""
