"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","experiment_name","totalTime","button_pressed","responses","order"
"1377","Welcome to the experiment. Press any key to begin.","32","instructions","html-keyboard-response","0","1383","0.0-0.0","59ad42650acd5600012ec0b0","180","mooneymood","534210","","",""
"11237","<div style='word-wrap: break-word; width: 900px'><h3>Please consider this information carefully before deciding whether to participate in this research</h3><ul style='text-align: left; font-size: .8em;'><li><b>Time required</b>: Participation will take between 15 and 45 minutes to complete.</li><li><b>Risks</b>:  There are no anticipated risks associated with participating in this study. The effects of participating should be comparable to those you would experience from viewing a computer monitor for 30 minutes and using a mouse or keyboard.</li><li><b>Benefits</b>:  This study provides no benefits to you individually except for the monetary reward. The study provides important information about the nature of perception and learning.</li><li><b>Confidentiality</b>:  Your participation in this study will remain confidential. No personally identifiable information will be associated with your data. Your de-identified data may be shared with other researchers and used in future projects.</li><li><b>Participation and withdrawal</b>:  Your participation in this study is completely voluntary and you may refuse to participate or you may choose to withdraw at any time without penalty.</li><li><b>How to contact the researchers</b>: If you have questions or concerns about your participation or payment, or want to request a summary of research findings, please contact Sander Van de Cruys (KU Leuven), at sander.vandecruys@kuleuven.be.</li></ul><p>The nature and purpose of this research have been sufficiently explained and I agree to participate in this study.  I understand that I am free to withdraw at any time without incurring any penalty.</p><p>Please consent by clicking the button below to continue. Otherwise, please exit the study at this time.</p></div>","","instructions","html-button-response","1","12623","0.0-1.0","59ad42650acd5600012ec0b0","180","mooneymood","534210","0","",""
"8589","<div style='word-wrap: break-word; width: 900px'><h3>Instructions: read carefully!</h3><p>This is a memory experiment that consists of 3 short parts. In the first part you'll have to fill in a brief emotion-questionnaire. In the second part you'll see a series of black and white images, that you'll have to try to remember in the last part.</p><p>Please complete each task immediately after the other. The experiment will only take about 10 minutes in total.</p><p>Press enter to start the first part of the experiment.</p></div>","","instructions","html-button-response","2","21213","0.0-2.0","59ad42650acd5600012ec0b0","180","mooneymood","534210","0","",""
"78234","","","panas_questionnaire","survey-likert","3","99452","0.0-3.0","59ad42650acd5600012ec0b0","180","mooneymood","534210","","{""Q0"":2,""Q1"":1,""Q2"":3,""Q3"":3,""Q4"":1,""Q5"":3,""Q6"":2,""Q7"":2,""Q8"":1,""Q9"":2,""Q10"":0,""Q11"":1,""Q12"":1,""Q13"":0,""Q14"":1,""Q15"":2,""Q16"":2,""Q17"":0,""Q18"":1,""Q19"":1}","Hostile,Strong,Afraid,Scared,Inspired,Nervous,Interested,Enthusiastic,Determined,Distressed,Ashamed,Alert,Upset,Proud,Guilty,Excited,Attentive,Jittery,Irritable,Active"
"6810","<div style='word-wrap: break-word; width: 900px'><h3>Start part 2</h3><p>You will see a serious of black and white images. Please pay close attention to the objects in the images because you'll need to remember them afterwards. You do not need to respond to the images, just passively look at them.</p><p>Press any key to start the second part of the experiment.</p></div>","32","instructions","html-keyboard-response","4","106262","0.0-4.0","59ad42650acd5600012ec0b0","180","mooneymood","534210","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","5","106466","0.0-5.0-0.0","59ad42650acd5600012ec0b0","180","mooneymood","534210","","",""
"","","","reveal","animate-transparency","6","110476","0.0-5.0-1.0","59ad42650acd5600012ec0b0","180","mooneymood","534210","","[]",""
"null","img/tt/0593tt.jpg","null","mooney","image-keyboard-response","7","110995","0.0-5.0-2.0","59ad42650acd5600012ec0b0","180","mooneymood","534210","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","8","111198","0.0-5.0-0.1","59ad42650acd5600012ec0b0","180","mooneymood","534210","","",""
"","","","reveal","animate-transparency","9","115224","0.0-5.0-1.1","59ad42650acd5600012ec0b0","180","mooneymood","534210","","[]",""
"null","img/tt/0023tt.jpg","null","mooney","image-keyboard-response","10","115730","0.0-5.0-2.1","59ad42650acd5600012ec0b0","180","mooneymood","534210","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","11","115934","0.0-5.0-0.2","59ad42650acd5600012ec0b0","180","mooneymood","534210","","",""
"","","","reveal","animate-transparency","12","119939","0.0-5.0-1.2","59ad42650acd5600012ec0b0","180","mooneymood","534210","","[]",""
"null","img/tt/0713tt.jpg","null","mooney","image-keyboard-response","13","120442","0.0-5.0-2.2","59ad42650acd5600012ec0b0","180","mooneymood","534210","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","14","120649","0.0-5.0-0.3","59ad42650acd5600012ec0b0","180","mooneymood","534210","","",""
"","","","reveal","animate-transparency","15","124653","0.0-5.0-1.3","59ad42650acd5600012ec0b0","180","mooneymood","534210","","[]",""
"null","img/tt/0369tt.jpg","null","mooney","image-keyboard-response","16","125158","0.0-5.0-2.3","59ad42650acd5600012ec0b0","180","mooneymood","534210","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","17","125363","0.0-5.0-0.4","59ad42650acd5600012ec0b0","180","mooneymood","534210","","",""
"","","","reveal","animate-transparency","18","129369","0.0-5.0-1.4","59ad42650acd5600012ec0b0","180","mooneymood","534210","","[]",""
"null","img/tt/0783tt.jpg","null","mooney","image-keyboard-response","19","129874","0.0-5.0-2.4","59ad42650acd5600012ec0b0","180","mooneymood","534210","","",""
