"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","experiment_name","totalTime","button_pressed","responses","order"
"1835","Welcome to the experiment. Press any key to begin.","32","instructions","html-keyboard-response","0","1840","0.0-0.0","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"38258","<div style='word-wrap: break-word; width: 900px'><h3>Please consider this information carefully before deciding whether to participate in this research</h3><ul style='text-align: left; font-size: .8em;'><li><b>Time required</b>: Participation will take between 15 and 45 minutes to complete.</li><li><b>Risks</b>:  There are no anticipated risks associated with participating in this study. The effects of participating should be comparable to those you would experience from viewing a computer monitor for 30 minutes and using a mouse or keyboard.</li><li><b>Benefits</b>:  This study provides no benefits to you individually except for the monetary reward. The study provides important information about the nature of perception and learning.</li><li><b>Confidentiality</b>:  Your participation in this study will remain confidential. No personally identifiable information will be associated with your data. Your de-identified data may be shared with other researchers and used in future projects.</li><li><b>Participation and withdrawal</b>:  Your participation in this study is completely voluntary and you may refuse to participate or you may choose to withdraw at any time without penalty.</li><li><b>How to contact the researchers</b>: If you have questions or concerns about your participation or payment, or want to request a summary of research findings, please contact Sander Van de Cruys (KU Leuven), at sander.vandecruys@kuleuven.be.</li></ul><p>The nature and purpose of this research have been sufficiently explained and I agree to participate in this study.  I understand that I am free to withdraw at any time without incurring any penalty.</p><p>Please consent by clicking the button below to continue. Otherwise, please exit the study at this time.</p></div>","","instructions","html-button-response","1","40102","0.0-1.0","59d3f0586cc82800013e31c3","0","mooneymood","491643","0","",""
"14309","<div style='word-wrap: break-word; width: 900px'><h3>Instructions: read carefully!</h3><p>This is a memory experiment that consists of 3 short parts. In the first part you'll have to fill in a brief emotion-questionnaire. In the second part you'll see a series of black and white images, that you'll have to try to remember in the last part.</p><p>Please complete each task immediately after the other. The experiment will only take about 10 minutes in total.</p><p>Press enter to start the first part of the experiment.</p></div>","","instructions","html-button-response","2","54412","0.0-2.0","59d3f0586cc82800013e31c3","0","mooneymood","491643","0","",""
"85303","","","panas_questionnaire","survey-likert","3","139732","0.0-3.0","59d3f0586cc82800013e31c3","0","mooneymood","491643","","{""Q0"":1,""Q1"":2,""Q2"":1,""Q3"":2,""Q4"":0,""Q5"":3,""Q6"":3,""Q7"":1,""Q8"":3,""Q9"":3,""Q10"":3,""Q11"":0,""Q12"":1,""Q13"":3,""Q14"":1,""Q15"":1,""Q16"":1,""Q17"":3,""Q18"":1,""Q19"":3}","Attentive,Alert,Ashamed,Active,Strong,Upset,Afraid,Proud,Irritable,Jittery,Nervous,Excited,Enthusiastic,Scared,Determined,Hostile,Inspired,Guilty,Interested,Distressed"
"28871","<div style='word-wrap: break-word; width: 900px'><h3>Start part 2</h3><p>You will see a serious of black and white images. Please pay close attention to the objects in the images because you'll need to remember them afterwards. You do not need to respond to the images, just passively look at them.</p><p>Press any key to start the second part of the experiment.</p></div>","32","instructions","html-keyboard-response","4","168603","0.0-4.0","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","5","168805","0.0-5.0-0.0","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"","","","reveal","animate-transparency","6","172810","0.0-5.0-1.0","59d3f0586cc82800013e31c3","0","mooneymood","491643","","[]",""
"null","img/tt/0087tt.jpg","null","mooney","image-keyboard-response","7","173314","0.0-5.0-2.0","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","8","173517","0.0-5.0-0.1","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"","","","reveal","animate-transparency","9","177520","0.0-5.0-1.1","59d3f0586cc82800013e31c3","0","mooneymood","491643","","[]",""
"null","img/tt/0827tt.jpg","null","mooney","image-keyboard-response","10","178023","0.0-5.0-2.1","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","11","178225","0.0-5.0-0.2","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"","","","reveal","animate-transparency","12","182228","0.0-5.0-1.2","59d3f0586cc82800013e31c3","0","mooneymood","491643","","[]",""
"null","img/tt/0557tt.jpg","null","mooney","image-keyboard-response","13","182730","0.0-5.0-2.2","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","14","182931","0.0-5.0-0.3","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"","","","reveal","animate-transparency","15","186934","0.0-5.0-1.3","59d3f0586cc82800013e31c3","0","mooneymood","491643","","[]",""
"null","img/tt/0710tt.jpg","null","mooney","image-keyboard-response","16","187438","0.0-5.0-2.3","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","17","187641","0.0-5.0-0.4","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"","","","reveal","animate-transparency","18","191645","0.0-5.0-1.4","59d3f0586cc82800013e31c3","0","mooneymood","491643","","[]",""
"null","img/tt/0666tt.jpg","null","mooney","image-keyboard-response","19","192146","0.0-5.0-2.4","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","20","192347","0.0-5.0-0.5","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"","","","reveal","animate-transparency","21","196350","0.0-5.0-1.5","59d3f0586cc82800013e31c3","0","mooneymood","491643","","[]",""
"null","img/tt/0256tt.jpg","null","mooney","image-keyboard-response","22","196854","0.0-5.0-2.5","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","23","197057","0.0-5.0-0.6","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"","","","reveal","animate-transparency","24","201059","0.0-5.0-1.6","59d3f0586cc82800013e31c3","0","mooneymood","491643","","[]",""
"null","img/tt/0816tt.jpg","null","mooney","image-keyboard-response","25","201562","0.0-5.0-2.6","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","26","201765","0.0-5.0-0.7","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"","","","reveal","animate-transparency","27","205768","0.0-5.0-1.7","59d3f0586cc82800013e31c3","0","mooneymood","491643","","[]",""
"null","img/tt/0628tt.jpg","null","mooney","image-keyboard-response","28","206271","0.0-5.0-2.7","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","29","206475","0.0-5.0-0.8","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"","","","reveal","animate-transparency","30","210477","0.0-5.0-1.8","59d3f0586cc82800013e31c3","0","mooneymood","491643","","[]",""
"null","img/tt/0460tt.jpg","null","mooney","image-keyboard-response","31","210980","0.0-5.0-2.8","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","32","211183","0.0-5.0-0.9","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"","","","reveal","animate-transparency","33","215186","0.0-5.0-1.9","59d3f0586cc82800013e31c3","0","mooneymood","491643","","[]",""
"null","img/tt/0258tt.jpg","null","mooney","image-keyboard-response","34","215689","0.0-5.0-2.9","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","35","215892","0.0-5.0-0.10","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"","","","reveal","animate-transparency","36","219894","0.0-5.0-1.10","59d3f0586cc82800013e31c3","0","mooneymood","491643","","[]",""
"null","img/tt/0016tt.jpg","null","mooney","image-keyboard-response","37","220398","0.0-5.0-2.10","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","38","220600","0.0-5.0-0.11","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"","","","reveal","animate-transparency","39","224608","0.0-5.0-1.11","59d3f0586cc82800013e31c3","0","mooneymood","491643","","[]",""
"null","img/tt/0409tt.jpg","null","mooney","image-keyboard-response","40","225112","0.0-5.0-2.11","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","41","225313","0.0-5.0-0.12","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"","","","reveal","animate-transparency","42","229316","0.0-5.0-1.12","59d3f0586cc82800013e31c3","0","mooneymood","491643","","[]",""
"null","img/tt/0627tt.jpg","null","mooney","image-keyboard-response","43","229818","0.0-5.0-2.12","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","44","230020","0.0-5.0-0.13","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
"","","","reveal","animate-transparency","45","234022","0.0-5.0-1.13","59d3f0586cc82800013e31c3","0","mooneymood","491643","","[]",""
"null","img/tt/0727tt.jpg","null","mooney","image-keyboard-response","46","234526","0.0-5.0-2.13","59d3f0586cc82800013e31c3","0","mooneymood","491643","","",""
