"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","experiment_name","totalTime","button_pressed","responses","order"
"1772","Welcome to the experiment. Press any key to begin.","32","instructions","html-keyboard-response","0","1779","0.0-0.0","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"10685","<div style='word-wrap: break-word; width: 900px'><h3>Please consider this information carefully before deciding whether to participate in this research</h3><ul style='text-align: left; font-size: .8em;'><li><b>Time required</b>: Participation will take between 15 and 45 minutes to complete.</li><li><b>Risks</b>:  There are no anticipated risks associated with participating in this study. The effects of participating should be comparable to those you would experience from viewing a computer monitor for 30 minutes and using a mouse or keyboard.</li><li><b>Benefits</b>:  This study provides no benefits to you individually except for the monetary reward. The study provides important information about the nature of perception and learning.</li><li><b>Confidentiality</b>:  Your participation in this study will remain confidential. No personally identifiable information will be associated with your data. Your de-identified data may be shared with other researchers and used in future projects.</li><li><b>Participation and withdrawal</b>:  Your participation in this study is completely voluntary and you may refuse to participate or you may choose to withdraw at any time without penalty.</li><li><b>How to contact the researchers</b>: If you have questions or concerns about your participation or payment, or want to request a summary of research findings, please contact Sander Van de Cruys (KU Leuven), at sander.vandecruys@kuleuven.be.</li></ul><p>The nature and purpose of this research have been sufficiently explained and I agree to participate in this study.  I understand that I am free to withdraw at any time without incurring any penalty.</p><p>Please consent by clicking the button below to continue. Otherwise, please exit the study at this time.</p></div>","","instructions","html-button-response","1","12474","0.0-1.0","5a5391ac8e62590001758a67","0","mooneymood","480914","0","",""
"2583","<div style='word-wrap: break-word; width: 900px'><h3>Instructions: read carefully!</h3><p>This is a memory experiment that consists of 3 short parts. In the first part you'll have to fill in a brief emotion-questionnaire. In the second part you'll see a series of black and white images, that you'll have to try to remember in the last part.</p><p>Please complete each task immediately after the other. The experiment will only take about 10 minutes in total.</p><p>Press enter to start the first part of the experiment.</p></div>","","instructions","html-button-response","2","15059","0.0-2.0","5a5391ac8e62590001758a67","0","mooneymood","480914","0","",""
"97916","","","panas_questionnaire","survey-likert","3","112995","0.0-3.0","5a5391ac8e62590001758a67","0","mooneymood","480914","","{""Q0"":0,""Q1"":2,""Q2"":2,""Q3"":0,""Q4"":1,""Q5"":1,""Q6"":2,""Q7"":3,""Q8"":2,""Q9"":0,""Q10"":0,""Q11"":2,""Q12"":2,""Q13"":2,""Q14"":0,""Q15"":0,""Q16"":0,""Q17"":1,""Q18"":0,""Q19"":0}","Jittery,Strong,Determined,Irritable,Excited,Distressed,Inspired,Attentive,Alert,Scared,Ashamed,Proud,Active,Interested,Afraid,Upset,Hostile,Enthusiastic,Guilty,Nervous"
"15749","<div style='word-wrap: break-word; width: 900px'><h3>Start part 2</h3><p>You will see a serious of black and white images. Please pay close attention to the objects in the images because you'll need to remember them afterwards. You do not need to respond to the images, just passively look at them.</p><p>Press any key to start the second part of the experiment.</p></div>","32","instructions","html-keyboard-response","4","128749","0.0-4.0","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","5","128961","0.0-5.0-0.0","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"","","","reveal","animate-transparency","6","132972","0.0-5.0-1.0","5a5391ac8e62590001758a67","0","mooneymood","480914","","[]",""
"null","img/tt/0450tt.jpg","null","mooney","image-keyboard-response","7","133481","0.0-5.0-2.0","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","8","133685","0.0-5.0-0.1","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"","","","reveal","animate-transparency","9","137690","0.0-5.0-1.1","5a5391ac8e62590001758a67","0","mooneymood","480914","","[]",""
"null","img/tt/0310tt.jpg","null","mooney","image-keyboard-response","10","138196","0.0-5.0-2.1","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","11","138400","0.0-5.0-0.2","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"","","","reveal","animate-transparency","12","142404","0.0-5.0-1.2","5a5391ac8e62590001758a67","0","mooneymood","480914","","[]",""
"null","img/tt/0138tt.jpg","null","mooney","image-keyboard-response","13","142908","0.0-5.0-2.2","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","14","143111","0.0-5.0-0.3","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"","","","reveal","animate-transparency","15","147117","0.0-5.0-1.3","5a5391ac8e62590001758a67","0","mooneymood","480914","","[]",""
"null","img/tt/0550tt.jpg","null","mooney","image-keyboard-response","16","147625","0.0-5.0-2.3","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","17","147833","0.0-5.0-0.4","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"","","","reveal","animate-transparency","18","151837","0.0-5.0-1.4","5a5391ac8e62590001758a67","0","mooneymood","480914","","[]",""
"null","img/tt/0238tt.jpg","null","mooney","image-keyboard-response","19","152341","0.0-5.0-2.4","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","20","152544","0.0-5.0-0.5","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"","","","reveal","animate-transparency","21","156549","0.0-5.0-1.5","5a5391ac8e62590001758a67","0","mooneymood","480914","","[]",""
"null","img/tt/0748tt.jpg","null","mooney","image-keyboard-response","22","157055","0.0-5.0-2.5","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","23","157261","0.0-5.0-0.6","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"","","","reveal","animate-transparency","24","161264","0.0-5.0-1.6","5a5391ac8e62590001758a67","0","mooneymood","480914","","[]",""
"null","img/tt/0201tt.jpg","null","mooney","image-keyboard-response","25","161769","0.0-5.0-2.6","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","26","161971","0.0-5.0-0.7","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"","","","reveal","animate-transparency","27","165976","0.0-5.0-1.7","5a5391ac8e62590001758a67","0","mooneymood","480914","","[]",""
"null","img/tt/0615tt.jpg","null","mooney","image-keyboard-response","28","166484","0.0-5.0-2.7","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","29","166689","0.0-5.0-0.8","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"","","","reveal","animate-transparency","30","170692","0.0-5.0-1.8","5a5391ac8e62590001758a67","0","mooneymood","480914","","[]",""
"null","img/tt/0542tt.jpg","null","mooney","image-keyboard-response","31","171195","0.0-5.0-2.8","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","32","171400","0.0-5.0-0.9","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"","","","reveal","animate-transparency","33","175403","0.0-5.0-1.9","5a5391ac8e62590001758a67","0","mooneymood","480914","","[]",""
"null","img/tt/0616tt.jpg","null","mooney","image-keyboard-response","34","175907","0.0-5.0-2.9","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","35","176110","0.0-5.0-0.10","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"","","","reveal","animate-transparency","36","180113","0.0-5.0-1.10","5a5391ac8e62590001758a67","0","mooneymood","480914","","[]",""
"null","img/tt/0404tt.jpg","null","mooney","image-keyboard-response","37","180622","0.0-5.0-2.10","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","38","180831","0.0-5.0-0.11","5a5391ac8e62590001758a67","0","mooneymood","480914","","",""
"","","","reveal","animate-transparency","39","184835","0.0-5.0-1.11","5a5391ac8e62590001758a67","0","mooneymood","480914","","[]",""
