"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","experiment_name","totalTime","button_pressed","responses","order"
"1472","Welcome to the experiment. Press any key to begin.","32","instructions","html-keyboard-response","0","1474","0.0-0.0","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","","",""
"4593","<div style='word-wrap: break-word; width: 900px'><h3>Please consider this information carefully before deciding whether to participate in this research</h3><ul style='text-align: left; font-size: .8em;'><li><b>Time required</b>: Participation will take between 15 and 45 minutes to complete.</li><li><b>Risks</b>:  There are no anticipated risks associated with participating in this study. The effects of participating should be comparable to those you would experience from viewing a computer monitor for 30 minutes and using a mouse or keyboard.</li><li><b>Benefits</b>:  This study provides no benefits to you individually except for the monetary reward. The study provides important information about the nature of perception and learning.</li><li><b>Confidentiality</b>:  Your participation in this study will remain confidential. No personally identifiable information will be associated with your data. Your de-identified data may be shared with other researchers and used in future projects.</li><li><b>Participation and withdrawal</b>:  Your participation in this study is completely voluntary and you may refuse to participate or you may choose to withdraw at any time without penalty.</li><li><b>How to contact the researchers</b>: If you have questions or concerns about your participation or payment, or want to request a summary of research findings, please contact Sander Van de Cruys (KU Leuven), at sander.vandecruys@kuleuven.be.</li></ul><p>The nature and purpose of this research have been sufficiently explained and I agree to participate in this study.  I understand that I am free to withdraw at any time without incurring any penalty.</p><p>Please consent by clicking the button below to continue. Otherwise, please exit the study at this time.</p></div>","","instructions","html-button-response","1","6068","0.0-1.0","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","0","",""
"8369","<div style='word-wrap: break-word; width: 900px'><h3>Instructions: read carefully!</h3><p>This is a memory experiment that consists of 3 short parts. In the first part you'll have to fill in a brief emotion-questionnaire. In the second part you'll see a series of black and white images, that you'll have to try to remember in the last part.</p><p>Please complete each task immediately after the other. The experiment will only take about 10 minutes in total.</p><p>Press enter to start the first part of the experiment.</p></div>","","instructions","html-button-response","2","14438","0.0-2.0","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","0","",""
"43589","","","panas_questionnaire","survey-likert","3","58031","0.0-3.0","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","","{""Q0"":0,""Q1"":2,""Q2"":2,""Q3"":3,""Q4"":0,""Q5"":0,""Q6"":0,""Q7"":0,""Q8"":0,""Q9"":0,""Q10"":0,""Q11"":0,""Q12"":2,""Q13"":3,""Q14"":0,""Q15"":0,""Q16"":2,""Q17"":1,""Q18"":1,""Q19"":1}","Hostile,Active,Excited,Determined,Irritable,Upset,Proud,Scared,Nervous,Distressed,Guilty,Ashamed,Attentive,Interested,Afraid,Jittery,Alert,Inspired,Strong,Enthusiastic"
"6857","<div style='word-wrap: break-word; width: 900px'><h3>Start part 2</h3><p>You will see a serious of black and white images. Please pay close attention to the objects in the images because you'll need to remember them afterwards. You do not need to respond to the images, just passively look at them.</p><p>Press any key to start the second part of the experiment.</p></div>","32","instructions","html-keyboard-response","4","64888","0.0-4.0","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","5","65090","0.0-5.0-0.0","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","","",""
"","","","reveal","animate-transparency","6","69092","0.0-5.0-1.0","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","","[]",""
"null","img/tt/0579tt.jpg","null","mooney","image-keyboard-response","7","69598","0.0-5.0-2.0","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","8","69800","0.0-5.0-0.1","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","","",""
"","","","reveal","animate-transparency","9","73803","0.0-5.0-1.1","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","","[]",""
"null","img/tt/0721tt.jpg","null","mooney","image-keyboard-response","10","74305","0.0-5.0-2.1","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","11","74509","0.0-5.0-0.2","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","","",""
"","","","reveal","animate-transparency","12","78512","0.0-5.0-1.2","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","","[]",""
"null","img/tt/0707tt.jpg","null","mooney","image-keyboard-response","13","79013","0.0-5.0-2.2","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","14","79217","0.0-5.0-0.3","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","","",""
"","","","reveal","animate-transparency","15","83217","0.0-5.0-1.3","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","","[]",""
"null","img/tt/0140tt.jpg","null","mooney","image-keyboard-response","16","83719","0.0-5.0-2.3","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","17","83921","0.0-5.0-0.4","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","","",""
"","","","reveal","animate-transparency","18","87923","0.0-5.0-1.4","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","","[]",""
"null","img/tt/0453tt.jpg","null","mooney","image-keyboard-response","19","88424","0.0-5.0-2.4","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","20","88627","0.0-5.0-0.5","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","","",""
"","","","reveal","animate-transparency","21","92630","0.0-5.0-1.5","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","","[]",""
"null","img/tt/0796tt.jpg","null","mooney","image-keyboard-response","22","93132","0.0-5.0-2.5","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","23","93333","0.0-5.0-0.6","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","","",""
"","","","reveal","animate-transparency","24","97334","0.0-5.0-1.6","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","","[]",""
"null","img/tt/0197tt.jpg","null","mooney","image-keyboard-response","25","97837","0.0-5.0-2.6","5a8e54c9f49c9a0001f3dc3f","180","mooneymood","272791","","",""
