"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","experiment_name","totalTime","button_pressed","responses","order"
"2109","Welcome to the experiment. Press any key to begin.","32","instructions","html-keyboard-response","0","2145","0.0-0.0","5b1550c851caaf00012290f4","180","mooneymood","289736","","",""
"5511","<div style='word-wrap: break-word; width: 900px'><h3>Please consider this information carefully before deciding whether to participate in this research</h3><ul style='text-align: left; font-size: .8em;'><li><b>Time required</b>: Participation will take between 15 and 45 minutes to complete.</li><li><b>Risks</b>:  There are no anticipated risks associated with participating in this study. The effects of participating should be comparable to those you would experience from viewing a computer monitor for 30 minutes and using a mouse or keyboard.</li><li><b>Benefits</b>:  This study provides no benefits to you individually except for the monetary reward. The study provides important information about the nature of perception and learning.</li><li><b>Confidentiality</b>:  Your participation in this study will remain confidential. No personally identifiable information will be associated with your data. Your de-identified data may be shared with other researchers and used in future projects.</li><li><b>Participation and withdrawal</b>:  Your participation in this study is completely voluntary and you may refuse to participate or you may choose to withdraw at any time without penalty.</li><li><b>How to contact the researchers</b>: If you have questions or concerns about your participation or payment, or want to request a summary of research findings, please contact Sander Van de Cruys (KU Leuven), at sander.vandecruys@kuleuven.be.</li></ul><p>The nature and purpose of this research have been sufficiently explained and I agree to participate in this study.  I understand that I am free to withdraw at any time without incurring any penalty.</p><p>Please consent by clicking the button below to continue. Otherwise, please exit the study at this time.</p></div>","","instructions","html-button-response","1","7670","0.0-1.0","5b1550c851caaf00012290f4","180","mooneymood","289736","0","",""
"2076","<div style='word-wrap: break-word; width: 900px'><h3>Instructions: read carefully!</h3><p>This is a memory experiment that consists of 3 short parts. In the first part you'll have to fill in a brief emotion-questionnaire. In the second part you'll see a series of black and white images, that you'll have to try to remember in the last part.</p><p>Please complete each task immediately after the other. The experiment will only take about 10 minutes in total.</p><p>Press enter to start the first part of the experiment.</p></div>","","instructions","html-button-response","2","9747","0.0-2.0","5b1550c851caaf00012290f4","180","mooneymood","289736","0","",""
"49923","","","panas_questionnaire","survey-likert","3","59678","0.0-3.0","5b1550c851caaf00012290f4","180","mooneymood","289736","","{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":3,""Q4"":0,""Q5"":3,""Q6"":0,""Q7"":3,""Q8"":0,""Q9"":0,""Q10"":2,""Q11"":0,""Q12"":2,""Q13"":2,""Q14"":2,""Q15"":2,""Q16"":0,""Q17"":2,""Q18"":0,""Q19"":2}","Distressed,Afraid,Scared,Determined,Jittery,Enthusiastic,Hostile,Attentive,Upset,Nervous,Inspired,Ashamed,Strong,Interested,Excited,Active,Irritable,Guilty,Alert,Proud"
"7647","<div style='word-wrap: break-word; width: 900px'><h3>Start part 2</h3><p>You will see a serious of black and white images. Please pay close attention to the objects in the images because you'll need to remember them afterwards. You do not need to respond to the images, just passively look at them.</p><p>Press any key to start the second part of the experiment.</p></div>","32","instructions","html-keyboard-response","4","67326","0.0-4.0","5b1550c851caaf00012290f4","180","mooneymood","289736","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","5","67527","0.0-5.0-0.0","5b1550c851caaf00012290f4","180","mooneymood","289736","","",""
"","","","reveal","animate-transparency","6","71536","0.0-5.0-1.0","5b1550c851caaf00012290f4","180","mooneymood","289736","","[]",""
"null","img/tt/0652tt.jpg","null","mooney","image-keyboard-response","7","72046","0.0-5.0-2.0","5b1550c851caaf00012290f4","180","mooneymood","289736","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","8","72247","0.0-5.0-0.1","5b1550c851caaf00012290f4","180","mooneymood","289736","","",""
"","","","reveal","animate-transparency","9","76250","0.0-5.0-1.1","5b1550c851caaf00012290f4","180","mooneymood","289736","","[]",""
"null","img/tt/0161tt.jpg","null","mooney","image-keyboard-response","10","76752","0.0-5.0-2.1","5b1550c851caaf00012290f4","180","mooneymood","289736","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","11","76954","0.0-5.0-0.2","5b1550c851caaf00012290f4","180","mooneymood","289736","","",""
"","","","reveal","animate-transparency","12","80956","0.0-5.0-1.2","5b1550c851caaf00012290f4","180","mooneymood","289736","","[]",""
"null","img/tt/0177tt.jpg","null","mooney","image-keyboard-response","13","81459","0.0-5.0-2.2","5b1550c851caaf00012290f4","180","mooneymood","289736","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","14","81661","0.0-5.0-0.3","5b1550c851caaf00012290f4","180","mooneymood","289736","","",""
"","","","reveal","animate-transparency","15","85664","0.0-5.0-1.3","5b1550c851caaf00012290f4","180","mooneymood","289736","","[]",""
"null","img/tt/0624tt.jpg","null","mooney","image-keyboard-response","16","86166","0.0-5.0-2.3","5b1550c851caaf00012290f4","180","mooneymood","289736","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","17","86367","0.0-5.0-0.4","5b1550c851caaf00012290f4","180","mooneymood","289736","","",""
"","","","reveal","animate-transparency","18","90370","0.0-5.0-1.4","5b1550c851caaf00012290f4","180","mooneymood","289736","","[]",""
"null","img/tt/0091tt.jpg","null","mooney","image-keyboard-response","19","90883","0.0-5.0-2.4","5b1550c851caaf00012290f4","180","mooneymood","289736","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","20","91083","0.0-5.0-0.5","5b1550c851caaf00012290f4","180","mooneymood","289736","","",""
"","","","reveal","animate-transparency","21","95085","0.0-5.0-1.5","5b1550c851caaf00012290f4","180","mooneymood","289736","","[]",""
"null","img/tt/0506tt.jpg","null","mooney","image-keyboard-response","22","95589","0.0-5.0-2.5","5b1550c851caaf00012290f4","180","mooneymood","289736","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","23","95791","0.0-5.0-0.6","5b1550c851caaf00012290f4","180","mooneymood","289736","","",""
"","","","reveal","animate-transparency","24","99793","0.0-5.0-1.6","5b1550c851caaf00012290f4","180","mooneymood","289736","","[]",""
"null","img/tt/0569tt.jpg","null","mooney","image-keyboard-response","25","100295","0.0-5.0-2.6","5b1550c851caaf00012290f4","180","mooneymood","289736","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","26","100497","0.0-5.0-0.7","5b1550c851caaf00012290f4","180","mooneymood","289736","","",""
"","","","reveal","animate-transparency","27","104499","0.0-5.0-1.7","5b1550c851caaf00012290f4","180","mooneymood","289736","","[]",""
"null","img/tt/0460tt.jpg","null","mooney","image-keyboard-response","28","105002","0.0-5.0-2.7","5b1550c851caaf00012290f4","180","mooneymood","289736","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","29","105204","0.0-5.0-0.8","5b1550c851caaf00012290f4","180","mooneymood","289736","","",""
