"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","experiment_name","totalTime","button_pressed","responses","order"
"2545","Welcome to the experiment. Press any key to begin.","72","instructions","html-keyboard-response","0","2547","0.0-0.0","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"7711","<div style='word-wrap: break-word; width: 900px'><h3>Please consider this information carefully before deciding whether to participate in this research</h3><ul style='text-align: left; font-size: .8em;'><li><b>Time required</b>: Participation will take between 15 and 45 minutes to complete.</li><li><b>Risks</b>:  There are no anticipated risks associated with participating in this study. The effects of participating should be comparable to those you would experience from viewing a computer monitor for 30 minutes and using a mouse or keyboard.</li><li><b>Benefits</b>:  This study provides no benefits to you individually except for the monetary reward. The study provides important information about the nature of perception and learning.</li><li><b>Confidentiality</b>:  Your participation in this study will remain confidential. No personally identifiable information will be associated with your data. Your de-identified data may be shared with other researchers and used in future projects.</li><li><b>Participation and withdrawal</b>:  Your participation in this study is completely voluntary and you may refuse to participate or you may choose to withdraw at any time without penalty.</li><li><b>How to contact the researchers</b>: If you have questions or concerns about your participation or payment, or want to request a summary of research findings, please contact Sander Van de Cruys (KU Leuven), at sander.vandecruys@kuleuven.be.</li></ul><p>The nature and purpose of this research have been sufficiently explained and I agree to participate in this study.  I understand that I am free to withdraw at any time without incurring any penalty.</p><p>Please consent by clicking the button below to continue. Otherwise, please exit the study at this time.</p></div>","","instructions","html-button-response","1","10263","0.0-1.0","5b2192216f3b6a000174b585","180","mooneymood","392379","0","",""
"14395","<div style='word-wrap: break-word; width: 900px'><h3>Instructions: read carefully!</h3><p>This is a memory experiment that consists of 3 short parts. In the first part you'll have to fill in a brief emotion-questionnaire. In the second part you'll see a series of black and white images, that you'll have to try to remember in the last part.</p><p>Please complete each task immediately after the other. The experiment will only take about 10 minutes in total.</p><p>Press enter to start the first part of the experiment.</p></div>","","instructions","html-button-response","2","24662","0.0-2.0","5b2192216f3b6a000174b585","180","mooneymood","392379","0","",""
"62742","","","panas_questionnaire","survey-likert","3","87431","0.0-3.0","5b2192216f3b6a000174b585","180","mooneymood","392379","","{""Q0"":3,""Q1"":0,""Q2"":4,""Q3"":2,""Q4"":2,""Q5"":0,""Q6"":4,""Q7"":1,""Q8"":0,""Q9"":0,""Q10"":0,""Q11"":2,""Q12"":3,""Q13"":2,""Q14"":3,""Q15"":3,""Q16"":4,""Q17"":0,""Q18"":0,""Q19"":0}","Alert,Scared,Determined,Excited,Interested,Afraid,Strong,Irritable,Hostile,Nervous,Ashamed,Inspired,Active,Upset,Proud,Enthusiastic,Attentive,Distressed,Guilty,Jittery"
"19071","<div style='word-wrap: break-word; width: 900px'><h3>Start part 2</h3><p>You will see a serious of black and white images. Please pay close attention to the objects in the images because you'll need to remember them afterwards. You do not need to respond to the images, just passively look at them.</p><p>Press any key to start the second part of the experiment.</p></div>","71","instructions","html-keyboard-response","4","106504","0.0-4.0","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","5","106714","0.0-5.0-0.0","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"","","","reveal","animate-transparency","6","110717","0.0-5.0-1.0","5b2192216f3b6a000174b585","180","mooneymood","392379","","[]",""
"null","img/tt/0564tt.jpg","null","mooney","image-keyboard-response","7","111234","0.0-5.0-2.0","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","8","111454","0.0-5.0-0.1","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"","","","reveal","animate-transparency","9","115457","0.0-5.0-1.1","5b2192216f3b6a000174b585","180","mooneymood","392379","","[]",""
"null","img/tt/0541tt.jpg","null","mooney","image-keyboard-response","10","115974","0.0-5.0-2.1","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","11","116184","0.0-5.0-0.2","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"","","","reveal","animate-transparency","12","120197","0.0-5.0-1.2","5b2192216f3b6a000174b585","180","mooneymood","392379","","[]",""
"null","img/tt/0625tt.jpg","null","mooney","image-keyboard-response","13","120714","0.0-5.0-2.2","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","14","120924","0.0-5.0-0.3","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"","","","reveal","animate-transparency","15","124938","0.0-5.0-1.3","5b2192216f3b6a000174b585","180","mooneymood","392379","","[]",""
"null","img/tt/0209tt.jpg","null","mooney","image-keyboard-response","16","125456","0.0-5.0-2.3","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","17","125676","0.0-5.0-0.4","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"","","","reveal","animate-transparency","18","129678","0.0-5.0-1.4","5b2192216f3b6a000174b585","180","mooneymood","392379","","[]",""
"null","img/tt/0736tt.jpg","null","mooney","image-keyboard-response","19","130196","0.0-5.0-2.4","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","20","130416","0.0-5.0-0.5","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"","","","reveal","animate-transparency","21","134419","0.0-5.0-1.5","5b2192216f3b6a000174b585","180","mooneymood","392379","","[]",""
"null","img/tt/0533tt.jpg","null","mooney","image-keyboard-response","22","134936","0.0-5.0-2.5","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","23","135156","0.0-5.0-0.6","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"","","","reveal","animate-transparency","24","139159","0.0-5.0-1.6","5b2192216f3b6a000174b585","180","mooneymood","392379","","[]",""
"null","img/tt/0540tt.jpg","null","mooney","image-keyboard-response","25","139678","0.0-5.0-2.6","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","26","139898","0.0-5.0-0.7","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"","","","reveal","animate-transparency","27","143899","0.0-5.0-1.7","5b2192216f3b6a000174b585","180","mooneymood","392379","","[]",""
"null","img/tt/0064tt.jpg","null","mooney","image-keyboard-response","28","144418","0.0-5.0-2.7","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","29","144638","0.0-5.0-0.8","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"","","","reveal","animate-transparency","30","148640","0.0-5.0-1.8","5b2192216f3b6a000174b585","180","mooneymood","392379","","[]",""
"null","img/tt/0327tt.jpg","null","mooney","image-keyboard-response","31","149158","0.0-5.0-2.8","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","32","149367","0.0-5.0-0.9","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"","","","reveal","animate-transparency","33","153380","0.0-5.0-1.9","5b2192216f3b6a000174b585","180","mooneymood","392379","","[]",""
"null","img/tt/0415tt.jpg","null","mooney","image-keyboard-response","34","153898","0.0-5.0-2.9","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","35","154117","0.0-5.0-0.10","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"","","","reveal","animate-transparency","36","158120","0.0-5.0-1.10","5b2192216f3b6a000174b585","180","mooneymood","392379","","[]",""
"null","img/tt/0384tt.jpg","null","mooney","image-keyboard-response","37","158638","0.0-5.0-2.10","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","38","158857","0.0-5.0-0.11","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"","","","reveal","animate-transparency","39","162861","0.0-5.0-1.11","5b2192216f3b6a000174b585","180","mooneymood","392379","","[]",""
"null","img/tt/0022tt.jpg","null","mooney","image-keyboard-response","40","163379","0.0-5.0-2.11","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","41","163599","0.0-5.0-0.12","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"","","","reveal","animate-transparency","42","167601","0.0-5.0-1.12","5b2192216f3b6a000174b585","180","mooneymood","392379","","[]",""
"null","img/tt/0786tt.jpg","null","mooney","image-keyboard-response","43","168119","0.0-5.0-2.12","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","44","168339","0.0-5.0-0.13","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"","","","reveal","animate-transparency","45","172341","0.0-5.0-1.13","5b2192216f3b6a000174b585","180","mooneymood","392379","","[]",""
"null","img/tt/0797tt.jpg","null","mooney","image-keyboard-response","46","172859","0.0-5.0-2.13","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","47","173079","0.0-5.0-0.14","5b2192216f3b6a000174b585","180","mooneymood","392379","","",""
"","","","reveal","animate-transparency","48","177081","0.0-5.0-1.14","5b2192216f3b6a000174b585","180","mooneymood","392379","","[]",""
