"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","experiment_name","totalTime","button_pressed","responses","order"
"48055","Welcome to the experiment. Press any key to begin.","13","instructions","html-keyboard-response","0","48057","0.0-0.0","5b2e9c09975e260001e92525","0","mooneymood","743926","","",""
"21592","<div style='word-wrap: break-word; width: 900px'><h3>Please consider this information carefully before deciding whether to participate in this research</h3><ul style='text-align: left; font-size: .8em;'><li><b>Time required</b>: Participation will take between 15 and 45 minutes to complete.</li><li><b>Risks</b>:  There are no anticipated risks associated with participating in this study. The effects of participating should be comparable to those you would experience from viewing a computer monitor for 30 minutes and using a mouse or keyboard.</li><li><b>Benefits</b>:  This study provides no benefits to you individually except for the monetary reward. The study provides important information about the nature of perception and learning.</li><li><b>Confidentiality</b>:  Your participation in this study will remain confidential. No personally identifiable information will be associated with your data. Your de-identified data may be shared with other researchers and used in future projects.</li><li><b>Participation and withdrawal</b>:  Your participation in this study is completely voluntary and you may refuse to participate or you may choose to withdraw at any time without penalty.</li><li><b>How to contact the researchers</b>: If you have questions or concerns about your participation or payment, or want to request a summary of research findings, please contact Sander Van de Cruys (KU Leuven), at sander.vandecruys@kuleuven.be.</li></ul><p>The nature and purpose of this research have been sufficiently explained and I agree to participate in this study.  I understand that I am free to withdraw at any time without incurring any penalty.</p><p>Please consent by clicking the button below to continue. Otherwise, please exit the study at this time.</p></div>","","instructions","html-button-response","1","69653","0.0-1.0","5b2e9c09975e260001e92525","0","mooneymood","743926","0","",""
"32236","<div style='word-wrap: break-word; width: 900px'><h3>Instructions: read carefully!</h3><p>This is a memory experiment that consists of 3 short parts. In the first part you'll have to fill in a brief emotion-questionnaire. In the second part you'll see a series of black and white images, that you'll have to try to remember in the last part.</p><p>Please complete each task immediately after the other. The experiment will only take about 10 minutes in total.</p><p>Press enter to start the first part of the experiment.</p></div>","","instructions","html-button-response","2","101892","0.0-2.0","5b2e9c09975e260001e92525","0","mooneymood","743926","0","",""
"124873","","","panas_questionnaire","survey-likert","3","226775","0.0-3.0","5b2e9c09975e260001e92525","0","mooneymood","743926","","{""Q0"":3,""Q1"":2,""Q2"":1,""Q3"":2,""Q4"":2,""Q5"":0,""Q6"":0,""Q7"":0,""Q8"":3,""Q9"":3,""Q10"":1,""Q11"":2,""Q12"":0,""Q13"":1,""Q14"":2,""Q15"":0,""Q16"":0,""Q17"":0,""Q18"":2,""Q19"":2}","Enthusiastic,Attentive,Irritable,Interested,Alert,Ashamed,Afraid,Nervous,Determined,Active,Guilty,Strong,Upset,Distressed,Proud,Hostile,Jittery,Scared,Inspired,Excited"
"46085","<div style='word-wrap: break-word; width: 900px'><h3>Start part 2</h3><p>You will see a serious of black and white images. Please pay close attention to the objects in the images because you'll need to remember them afterwards. You do not need to respond to the images, just passively look at them.</p><p>Press any key to start the second part of the experiment.</p></div>","32","instructions","html-keyboard-response","4","272861","0.0-4.0","5b2e9c09975e260001e92525","0","mooneymood","743926","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","5","273065","0.0-5.0-0.0","5b2e9c09975e260001e92525","0","mooneymood","743926","","",""
"","","","reveal","animate-transparency","6","277068","0.0-5.0-1.0","5b2e9c09975e260001e92525","0","mooneymood","743926","","[]",""
"null","img/tt/0223tt.jpg","null","mooney","image-keyboard-response","7","277569","0.0-5.0-2.0","5b2e9c09975e260001e92525","0","mooneymood","743926","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","8","277771","0.0-5.0-0.1","5b2e9c09975e260001e92525","0","mooneymood","743926","","",""
"","","","reveal","animate-transparency","9","281772","0.0-5.0-1.1","5b2e9c09975e260001e92525","0","mooneymood","743926","","[]",""
"null","img/tt/0547tt.jpg","null","mooney","image-keyboard-response","10","282274","0.0-5.0-2.1","5b2e9c09975e260001e92525","0","mooneymood","743926","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","11","282475","0.0-5.0-0.2","5b2e9c09975e260001e92525","0","mooneymood","743926","","",""
"","","","reveal","animate-transparency","12","286477","0.0-5.0-1.2","5b2e9c09975e260001e92525","0","mooneymood","743926","","[]",""
"null","img/tt/0186tt.jpg","null","mooney","image-keyboard-response","13","286978","0.0-5.0-2.2","5b2e9c09975e260001e92525","0","mooneymood","743926","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","14","287180","0.0-5.0-0.3","5b2e9c09975e260001e92525","0","mooneymood","743926","","",""
"","","","reveal","animate-transparency","15","291181","0.0-5.0-1.3","5b2e9c09975e260001e92525","0","mooneymood","743926","","[]",""
"null","img/tt/0597tt.jpg","null","mooney","image-keyboard-response","16","291682","0.0-5.0-2.3","5b2e9c09975e260001e92525","0","mooneymood","743926","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","17","291883","0.0-5.0-0.4","5b2e9c09975e260001e92525","0","mooneymood","743926","","",""
"","","","reveal","animate-transparency","18","295885","0.0-5.0-1.4","5b2e9c09975e260001e92525","0","mooneymood","743926","","[]",""
"null","img/tt/0188tt.jpg","null","mooney","image-keyboard-response","19","296386","0.0-5.0-2.4","5b2e9c09975e260001e92525","0","mooneymood","743926","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","20","296587","0.0-5.0-0.5","5b2e9c09975e260001e92525","0","mooneymood","743926","","",""
"","","","reveal","animate-transparency","21","300590","0.0-5.0-1.5","5b2e9c09975e260001e92525","0","mooneymood","743926","","[]",""
"null","img/tt/0740tt.jpg","null","mooney","image-keyboard-response","22","301092","0.0-5.0-2.5","5b2e9c09975e260001e92525","0","mooneymood","743926","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","23","301293","0.0-5.0-0.6","5b2e9c09975e260001e92525","0","mooneymood","743926","","",""
"","","","reveal","animate-transparency","24","305294","0.0-5.0-1.6","5b2e9c09975e260001e92525","0","mooneymood","743926","","[]",""
"null","img/tt/0470tt.jpg","null","mooney","image-keyboard-response","25","305795","0.0-5.0-2.6","5b2e9c09975e260001e92525","0","mooneymood","743926","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","26","305996","0.0-5.0-0.7","5b2e9c09975e260001e92525","0","mooneymood","743926","","",""
"","","","reveal","animate-transparency","27","309997","0.0-5.0-1.7","5b2e9c09975e260001e92525","0","mooneymood","743926","","[]",""
"null","img/tt/0300tt.jpg","null","mooney","image-keyboard-response","28","310499","0.0-5.0-2.7","5b2e9c09975e260001e92525","0","mooneymood","743926","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","29","310700","0.0-5.0-0.8","5b2e9c09975e260001e92525","0","mooneymood","743926","","",""
