"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","experiment_name","totalTime","button_pressed","responses","order"
"2418","Welcome to the experiment. Press any key to begin.","32","instructions","html-keyboard-response","0","2421","0.0-0.0","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"2510","<div style='word-wrap: break-word; width: 900px'><h3>Please consider this information carefully before deciding whether to participate in this research</h3><ul style='text-align: left; font-size: .8em;'><li><b>Time required</b>: Participation will take between 15 and 45 minutes to complete.</li><li><b>Risks</b>:  There are no anticipated risks associated with participating in this study. The effects of participating should be comparable to those you would experience from viewing a computer monitor for 30 minutes and using a mouse or keyboard.</li><li><b>Benefits</b>:  This study provides no benefits to you individually except for the monetary reward. The study provides important information about the nature of perception and learning.</li><li><b>Confidentiality</b>:  Your participation in this study will remain confidential. No personally identifiable information will be associated with your data. Your de-identified data may be shared with other researchers and used in future projects.</li><li><b>Participation and withdrawal</b>:  Your participation in this study is completely voluntary and you may refuse to participate or you may choose to withdraw at any time without penalty.</li><li><b>How to contact the researchers</b>: If you have questions or concerns about your participation or payment, or want to request a summary of research findings, please contact Sander Van de Cruys (KU Leuven), at sander.vandecruys@kuleuven.be.</li></ul><p>The nature and purpose of this research have been sufficiently explained and I agree to participate in this study.  I understand that I am free to withdraw at any time without incurring any penalty.</p><p>Please consent by clicking the button below to continue. Otherwise, please exit the study at this time.</p></div>","","instructions","html-button-response","1","4931","0.0-1.0","5b4bf28864ce80000195fe68","0","mooneymood","271575","0","",""
"4727","<div style='word-wrap: break-word; width: 900px'><h3>Instructions: read carefully!</h3><p>This is a memory experiment that consists of 3 short parts. In the first part you'll have to fill in a brief emotion-questionnaire. In the second part you'll see a series of black and white images, that you'll have to try to remember in the last part.</p><p>Please complete each task immediately after the other. The experiment will only take about 10 minutes in total.</p><p>Press enter to start the first part of the experiment.</p></div>","","instructions","html-button-response","2","9658","0.0-2.0","5b4bf28864ce80000195fe68","0","mooneymood","271575","0","",""
"48244","","","panas_questionnaire","survey-likert","3","57908","0.0-3.0","5b4bf28864ce80000195fe68","0","mooneymood","271575","","{""Q0"":3,""Q1"":3,""Q2"":2,""Q3"":4,""Q4"":0,""Q5"":0,""Q6"":2,""Q7"":0,""Q8"":1,""Q9"":0,""Q10"":2,""Q11"":3,""Q12"":0,""Q13"":3,""Q14"":1,""Q15"":3,""Q16"":3,""Q17"":1,""Q18"":3,""Q19"":0}","Strong,Proud,Attentive,Alert,Scared,Distressed,Active,Ashamed,Jittery,Afraid,Guilty,Enthusiastic,Nervous,Excited,Upset,Interested,Inspired,Hostile,Determined,Irritable"
"6918","<div style='word-wrap: break-word; width: 900px'><h3>Start part 2</h3><p>You will see a serious of black and white images. Please pay close attention to the objects in the images because you'll need to remember them afterwards. You do not need to respond to the images, just passively look at them.</p><p>Press any key to start the second part of the experiment.</p></div>","32","instructions","html-keyboard-response","4","64827","0.0-4.0","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","5","65027","0.0-5.0-0.0","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"","","","reveal","animate-transparency","6","69029","0.0-5.0-1.0","5b4bf28864ce80000195fe68","0","mooneymood","271575","","[]",""
"null","img/tt/0342tt.jpg","null","mooney","image-keyboard-response","7","69531","0.0-5.0-2.0","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","8","69732","0.0-5.0-0.1","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"","","","reveal","animate-transparency","9","73733","0.0-5.0-1.1","5b4bf28864ce80000195fe68","0","mooneymood","271575","","[]",""
"null","img/tt/0426tt.jpg","null","mooney","image-keyboard-response","10","74232","0.0-5.0-2.1","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","11","74433","0.0-5.0-0.2","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"","","","reveal","animate-transparency","12","78433","0.0-5.0-1.2","5b4bf28864ce80000195fe68","0","mooneymood","271575","","[]",""
"null","img/tt/0283tt.jpg","null","mooney","image-keyboard-response","13","78935","0.0-5.0-2.2","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","14","79136","0.0-5.0-0.3","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"","","","reveal","animate-transparency","15","83136","0.0-5.0-1.3","5b4bf28864ce80000195fe68","0","mooneymood","271575","","[]",""
"null","img/tt/0256tt.jpg","null","mooney","image-keyboard-response","16","83637","0.0-5.0-2.3","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","17","83837","0.0-5.0-0.4","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"","","","reveal","animate-transparency","18","87838","0.0-5.0-1.4","5b4bf28864ce80000195fe68","0","mooneymood","271575","","[]",""
"null","img/tt/0103tt.jpg","null","mooney","image-keyboard-response","19","88338","0.0-5.0-2.4","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","20","88538","0.0-5.0-0.5","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"","","","reveal","animate-transparency","21","92539","0.0-5.0-1.5","5b4bf28864ce80000195fe68","0","mooneymood","271575","","[]",""
"null","img/tt/0567tt.jpg","null","mooney","image-keyboard-response","22","93039","0.0-5.0-2.5","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","23","93239","0.0-5.0-0.6","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"","","","reveal","animate-transparency","24","97240","0.0-5.0-1.6","5b4bf28864ce80000195fe68","0","mooneymood","271575","","[]",""
"null","img/tt/0428tt.jpg","null","mooney","image-keyboard-response","25","97742","0.0-5.0-2.6","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","26","97944","0.0-5.0-0.7","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"","","","reveal","animate-transparency","27","101945","0.0-5.0-1.7","5b4bf28864ce80000195fe68","0","mooneymood","271575","","[]",""
"null","img/tt/0018tt.jpg","null","mooney","image-keyboard-response","28","102445","0.0-5.0-2.7","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","29","102645","0.0-5.0-0.8","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"","","","reveal","animate-transparency","30","106646","0.0-5.0-1.8","5b4bf28864ce80000195fe68","0","mooneymood","271575","","[]",""
"null","img/tt/0458tt.jpg","null","mooney","image-keyboard-response","31","107147","0.0-5.0-2.8","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","32","107347","0.0-5.0-0.9","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"","","","reveal","animate-transparency","33","111349","0.0-5.0-1.9","5b4bf28864ce80000195fe68","0","mooneymood","271575","","[]",""
"null","img/tt/0386tt.jpg","null","mooney","image-keyboard-response","34","111850","0.0-5.0-2.9","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","35","112051","0.0-5.0-0.10","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"","","","reveal","animate-transparency","36","116050","0.0-5.0-1.10","5b4bf28864ce80000195fe68","0","mooneymood","271575","","[]",""
"null","img/tt/0221tt.jpg","null","mooney","image-keyboard-response","37","116552","0.0-5.0-2.10","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","38","116752","0.0-5.0-0.11","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"","","","reveal","animate-transparency","39","120754","0.0-5.0-1.11","5b4bf28864ce80000195fe68","0","mooneymood","271575","","[]",""
"null","img/tt/0038tt.jpg","null","mooney","image-keyboard-response","40","121254","0.0-5.0-2.11","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","41","121454","0.0-5.0-0.12","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"","","","reveal","animate-transparency","42","125456","0.0-5.0-1.12","5b4bf28864ce80000195fe68","0","mooneymood","271575","","[]",""
"null","img/tt/0413tt.jpg","null","mooney","image-keyboard-response","43","125956","0.0-5.0-2.12","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","44","126156","0.0-5.0-0.13","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"","","","reveal","animate-transparency","45","130156","0.0-5.0-1.13","5b4bf28864ce80000195fe68","0","mooneymood","271575","","[]",""
"null","img/tt/0523tt.jpg","null","mooney","image-keyboard-response","46","130658","0.0-5.0-2.13","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","47","130858","0.0-5.0-0.14","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"","","","reveal","animate-transparency","48","134857","0.0-5.0-1.14","5b4bf28864ce80000195fe68","0","mooneymood","271575","","[]",""
"null","img/tt/0136tt.jpg","null","mooney","image-keyboard-response","49","135359","0.0-5.0-2.14","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","50","135558","0.0-5.0-0.15","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"","","","reveal","animate-transparency","51","139559","0.0-5.0-1.15","5b4bf28864ce80000195fe68","0","mooneymood","271575","","[]",""
"null","img/tt/0618tt.jpg","null","mooney","image-keyboard-response","52","140059","0.0-5.0-2.15","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","53","140259","0.0-5.0-0.16","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"","","","reveal","animate-transparency","54","144260","0.0-5.0-1.16","5b4bf28864ce80000195fe68","0","mooneymood","271575","","[]",""
"null","img/tt/0594tt.jpg","null","mooney","image-keyboard-response","55","144760","0.0-5.0-2.16","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","56","144960","0.0-5.0-0.17","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"","","","reveal","animate-transparency","57","148961","0.0-5.0-1.17","5b4bf28864ce80000195fe68","0","mooneymood","271575","","[]",""
"null","img/tt/0557tt.jpg","null","mooney","image-keyboard-response","58","149462","0.0-5.0-2.17","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","59","149663","0.0-5.0-0.18","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"","","","reveal","animate-transparency","60","153664","0.0-5.0-1.18","5b4bf28864ce80000195fe68","0","mooneymood","271575","","[]",""
"null","img/tt/0528tt.jpg","null","mooney","image-keyboard-response","61","154164","0.0-5.0-2.18","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","62","154364","0.0-5.0-0.19","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"","","","reveal","animate-transparency","63","158364","0.0-5.0-1.19","5b4bf28864ce80000195fe68","0","mooneymood","271575","","[]",""
"null","img/tt/0777tt.jpg","null","mooney","image-keyboard-response","64","158864","0.0-5.0-2.19","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","65","159067","0.0-5.0-0.20","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"","","","reveal","animate-transparency","66","163068","0.0-5.0-1.20","5b4bf28864ce80000195fe68","0","mooneymood","271575","","[]",""
"null","img/tt/0200tt.jpg","null","mooney","image-keyboard-response","67","163569","0.0-5.0-2.20","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","68","163769","0.0-5.0-0.21","5b4bf28864ce80000195fe68","0","mooneymood","271575","","",""
