"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","experiment_name","totalTime","button_pressed","responses","order"
"4139","Welcome to the experiment. Press any key to begin.","13","instructions","html-keyboard-response","0","4140","0.0-0.0","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"36416","<div style='word-wrap: break-word; width: 900px'><h3>Please consider this information carefully before deciding whether to participate in this research</h3><ul style='text-align: left; font-size: .8em;'><li><b>Time required</b>: Participation will take between 15 and 45 minutes to complete.</li><li><b>Risks</b>:  There are no anticipated risks associated with participating in this study. The effects of participating should be comparable to those you would experience from viewing a computer monitor for 30 minutes and using a mouse or keyboard.</li><li><b>Benefits</b>:  This study provides no benefits to you individually except for the monetary reward. The study provides important information about the nature of perception and learning.</li><li><b>Confidentiality</b>:  Your participation in this study will remain confidential. No personally identifiable information will be associated with your data. Your de-identified data may be shared with other researchers and used in future projects.</li><li><b>Participation and withdrawal</b>:  Your participation in this study is completely voluntary and you may refuse to participate or you may choose to withdraw at any time without penalty.</li><li><b>How to contact the researchers</b>: If you have questions or concerns about your participation or payment, or want to request a summary of research findings, please contact Sander Van de Cruys (KU Leuven), at sander.vandecruys@kuleuven.be.</li></ul><p>The nature and purpose of this research have been sufficiently explained and I agree to participate in this study.  I understand that I am free to withdraw at any time without incurring any penalty.</p><p>Please consent by clicking the button below to continue. Otherwise, please exit the study at this time.</p></div>","","instructions","html-button-response","1","40557","0.0-1.0","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","0","",""
"33563","<div style='word-wrap: break-word; width: 900px'><h3>Instructions: read carefully!</h3><p>This is a memory experiment that consists of 3 short parts. In the first part you'll have to fill in a brief emotion-questionnaire. In the second part you'll see a series of black and white images, that you'll have to try to remember in the last part.</p><p>Please complete each task immediately after the other. The experiment will only take about 10 minutes in total.</p><p>Press enter to start the first part of the experiment.</p></div>","","instructions","html-button-response","2","74121","0.0-2.0","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","0","",""
"75726","","","panas_questionnaire","survey-likert","3","149850","0.0-3.0","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","{""Q0"":2,""Q1"":1,""Q2"":1,""Q3"":2,""Q4"":0,""Q5"":1,""Q6"":1,""Q7"":1,""Q8"":0,""Q9"":2,""Q10"":2,""Q11"":2,""Q12"":2,""Q13"":1,""Q14"":2,""Q15"":2,""Q16"":1,""Q17"":2,""Q18"":2,""Q19"":2}","Enthusiastic,Scared,Ashamed,Proud,Active,Nervous,Afraid,Attentive,Jittery,Alert,Determined,Hostile,Distressed,Guilty,Inspired,Irritable,Strong,Upset,Interested,Excited"
"18348","<div style='word-wrap: break-word; width: 900px'><h3>Start part 2</h3><p>You will see a serious of black and white images. Please pay close attention to the objects in the images because you'll need to remember them afterwards. You do not need to respond to the images, just passively look at them.</p><p>Press any key to start the second part of the experiment.</p></div>","13","instructions","html-keyboard-response","4","168198","0.0-4.0","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","5","168400","0.0-5.0-0.0","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","6","172404","0.0-5.0-1.0","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0574tt.jpg","null","mooney","image-keyboard-response","7","172906","0.0-5.0-2.0","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","8","173108","0.0-5.0-0.1","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","9","177108","0.0-5.0-1.1","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0652tt.jpg","null","mooney","image-keyboard-response","10","177611","0.0-5.0-2.1","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","11","177812","0.0-5.0-0.2","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","12","181813","0.0-5.0-1.2","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0111tt.jpg","null","mooney","image-keyboard-response","13","182314","0.0-5.0-2.2","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","14","182514","0.0-5.0-0.3","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","15","186516","0.0-5.0-1.3","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0659tt.jpg","null","mooney","image-keyboard-response","16","187018","0.0-5.0-2.3","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","17","187221","0.0-5.0-0.4","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","18","191222","0.0-5.0-1.4","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0400tt.jpg","null","mooney","image-keyboard-response","19","191723","0.0-5.0-2.4","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","20","191925","0.0-5.0-0.5","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","21","195926","0.0-5.0-1.5","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0801tt.jpg","null","mooney","image-keyboard-response","22","196428","0.0-5.0-2.5","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","23","196630","0.0-5.0-0.6","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","24","200633","0.0-5.0-1.6","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0431tt.jpg","null","mooney","image-keyboard-response","25","201134","0.0-5.0-2.6","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","26","201337","0.0-5.0-0.7","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","27","205339","0.0-5.0-1.7","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0428tt.jpg","null","mooney","image-keyboard-response","28","205840","0.0-5.0-2.7","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","29","206041","0.0-5.0-0.8","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","30","210043","0.0-5.0-1.8","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0198tt.jpg","null","mooney","image-keyboard-response","31","210546","0.0-5.0-2.8","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","32","210747","0.0-5.0-0.9","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","33","214748","0.0-5.0-1.9","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0320tt.jpg","null","mooney","image-keyboard-response","34","215251","0.0-5.0-2.9","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","35","215451","0.0-5.0-0.10","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","36","219454","0.0-5.0-1.10","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0351tt.jpg","null","mooney","image-keyboard-response","37","219956","0.0-5.0-2.10","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","38","220157","0.0-5.0-0.11","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","39","224160","0.0-5.0-1.11","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0740tt.jpg","null","mooney","image-keyboard-response","40","224662","0.0-5.0-2.11","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","41","224862","0.0-5.0-0.12","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","42","228865","0.0-5.0-1.12","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0734tt.jpg","null","mooney","image-keyboard-response","43","229366","0.0-5.0-2.12","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","44","229567","0.0-5.0-0.13","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","45","233568","0.0-5.0-1.13","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0578tt.jpg","null","mooney","image-keyboard-response","46","234071","0.0-5.0-2.13","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","47","234271","0.0-5.0-0.14","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","48","238273","0.0-5.0-1.14","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0371tt.jpg","null","mooney","image-keyboard-response","49","238775","0.0-5.0-2.14","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","50","238976","0.0-5.0-0.15","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","51","242977","0.0-5.0-1.15","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0242tt.jpg","null","mooney","image-keyboard-response","52","243480","0.0-5.0-2.15","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","53","243682","0.0-5.0-0.16","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","54","247683","0.0-5.0-1.16","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0444tt.jpg","null","mooney","image-keyboard-response","55","248184","0.0-5.0-2.16","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","56","248385","0.0-5.0-0.17","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","57","252387","0.0-5.0-1.17","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0731tt.jpg","null","mooney","image-keyboard-response","58","252889","0.0-5.0-2.17","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","59","253089","0.0-5.0-0.18","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","60","257090","0.0-5.0-1.18","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0289tt.jpg","null","mooney","image-keyboard-response","61","257591","0.0-5.0-2.18","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","62","257791","0.0-5.0-0.19","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","63","261793","0.0-5.0-1.19","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0395tt.jpg","null","mooney","image-keyboard-response","64","262295","0.0-5.0-2.19","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","65","262496","0.0-5.0-0.20","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","66","266498","0.0-5.0-1.20","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0195tt.jpg","null","mooney","image-keyboard-response","67","266999","0.0-5.0-2.20","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","68","267201","0.0-5.0-0.21","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","69","271203","0.0-5.0-1.21","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0048tt.jpg","null","mooney","image-keyboard-response","70","271706","0.0-5.0-2.21","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","71","271908","0.0-5.0-0.22","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","72","275911","0.0-5.0-1.22","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0205tt.jpg","null","mooney","image-keyboard-response","73","276411","0.0-5.0-2.22","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","74","276613","0.0-5.0-0.23","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","75","280614","0.0-5.0-1.23","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0302tt.jpg","null","mooney","image-keyboard-response","76","281117","0.0-5.0-2.23","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","77","281318","0.0-5.0-0.24","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","78","285320","0.0-5.0-1.24","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0187tt.jpg","null","mooney","image-keyboard-response","79","285823","0.0-5.0-2.24","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","80","286023","0.0-5.0-0.25","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","81","290024","0.0-5.0-1.25","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0564tt.jpg","null","mooney","image-keyboard-response","82","290526","0.0-5.0-2.25","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","83","290727","0.0-5.0-0.26","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","84","294728","0.0-5.0-1.26","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0160tt.jpg","null","mooney","image-keyboard-response","85","295229","0.0-5.0-2.26","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","86","295430","0.0-5.0-0.27","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","87","299432","0.0-5.0-1.27","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0059tt.jpg","null","mooney","image-keyboard-response","88","299932","0.0-5.0-2.27","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","89","300134","0.0-5.0-0.28","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","90","304135","0.0-5.0-1.28","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0760tt.jpg","null","mooney","image-keyboard-response","91","304637","0.0-5.0-2.28","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","92","304839","0.0-5.0-0.29","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"","","","reveal","animate-transparency","93","308840","0.0-5.0-1.29","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","[]",""
"null","img/tt/0083tt.jpg","null","mooney","image-keyboard-response","94","309341","0.0-5.0-2.29","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
"126822","","","posttest","survey-text","95","436165","0.0-6.0","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","{""Q0"":""Active, Scared, Guilty, Enthusiastic, Imaginative, Irritable, Proud, Inspired""}",""
"22881","<div style='word-wrap: break-word; width: 900px'><h1>Thank you!</h1><p>You completed the experiment. As you noticed we were interested in incidental (non-intentional) learning (not in your memory for images), and in how it is affected by in-between intentional learning of different materials. Apologies for misleading you.</p><p>Press any key to return to Prolific and confirm completion...</p></div>","13","instructions","html-keyboard-response","96","459048","0.0-7.0","5b920a69abfadc0001e7ffa9","0","mooneymood","459049","","",""
