"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","experiment_name","totalTime","button_pressed","responses","order"
"4674","Welcome to the experiment. Press any key to begin.","32","instructions","html-keyboard-response","0","4678","0.0-0.0","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"26611","<div style='word-wrap: break-word; width: 900px'><h3>Please consider this information carefully before deciding whether to participate in this research</h3><ul style='text-align: left; font-size: .8em;'><li><b>Time required</b>: Participation will take between 15 and 45 minutes to complete.</li><li><b>Risks</b>:  There are no anticipated risks associated with participating in this study. The effects of participating should be comparable to those you would experience from viewing a computer monitor for 30 minutes and using a mouse or keyboard.</li><li><b>Benefits</b>:  This study provides no benefits to you individually except for the monetary reward. The study provides important information about the nature of perception and learning.</li><li><b>Confidentiality</b>:  Your participation in this study will remain confidential. No personally identifiable information will be associated with your data. Your de-identified data may be shared with other researchers and used in future projects.</li><li><b>Participation and withdrawal</b>:  Your participation in this study is completely voluntary and you may refuse to participate or you may choose to withdraw at any time without penalty.</li><li><b>How to contact the researchers</b>: If you have questions or concerns about your participation or payment, or want to request a summary of research findings, please contact Sander Van de Cruys (KU Leuven), at sander.vandecruys@kuleuven.be.</li></ul><p>The nature and purpose of this research have been sufficiently explained and I agree to participate in this study.  I understand that I am free to withdraw at any time without incurring any penalty.</p><p>Please consent by clicking the button below to continue. Otherwise, please exit the study at this time.</p></div>","","instructions","html-button-response","1","31294","0.0-1.0","5b9fa25e7b196f000195fd78","0","mooneymood","352547","0","",""
"23231","<div style='word-wrap: break-word; width: 900px'><h3>Instructions: read carefully!</h3><p>This is a memory experiment that consists of 3 short parts. In the first part you'll have to fill in a brief emotion-questionnaire. In the second part you'll see a series of black and white images, that you'll have to try to remember in the last part.</p><p>Please complete each task immediately after the other. The experiment will only take about 10 minutes in total.</p><p>Press enter to start the first part of the experiment.</p></div>","","instructions","html-button-response","2","54528","0.0-2.0","5b9fa25e7b196f000195fd78","0","mooneymood","352547","0","",""
"64668","","","panas_questionnaire","survey-likert","3","119205","0.0-3.0","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","{""Q0"":1,""Q1"":1,""Q2"":0,""Q3"":0,""Q4"":1,""Q5"":0,""Q6"":0,""Q7"":0,""Q8"":1,""Q9"":1,""Q10"":0,""Q11"":1,""Q12"":0,""Q13"":1,""Q14"":0,""Q15"":2,""Q16"":1,""Q17"":0,""Q18"":0,""Q19"":0}","Attentive,Hostile,Jittery,Inspired,Excited,Upset,Proud,Enthusiastic,Nervous,Alert,Scared,Strong,Afraid,Interested,Distressed,Irritable,Active,Guilty,Ashamed,Determined"
"8021","<div style='word-wrap: break-word; width: 900px'><h3>Start part 2</h3><p>You will see a serious of black and white images. Please pay close attention to the objects in the images because you'll need to remember them afterwards. You do not need to respond to the images, just passively look at them.</p><p>Press any key to start the second part of the experiment.</p></div>","32","instructions","html-keyboard-response","4","127227","0.0-4.0","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","5","127429","0.0-5.0-0.0","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"","","","reveal","animate-transparency","6","131432","0.0-5.0-1.0","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","[]",""
"null","img/tt/0553tt.jpg","null","mooney","image-keyboard-response","7","131935","0.0-5.0-2.0","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","8","132136","0.0-5.0-0.1","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"","","","reveal","animate-transparency","9","136137","0.0-5.0-1.1","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","[]",""
"null","img/tt/0438tt.jpg","null","mooney","image-keyboard-response","10","136638","0.0-5.0-2.1","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","11","136839","0.0-5.0-0.2","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"","","","reveal","animate-transparency","12","140840","0.0-5.0-1.2","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","[]",""
"null","img/tt/0536tt.jpg","null","mooney","image-keyboard-response","13","141342","0.0-5.0-2.2","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","14","141542","0.0-5.0-0.3","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"","","","reveal","animate-transparency","15","145543","0.0-5.0-1.3","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","[]",""
"null","img/tt/0734tt.jpg","null","mooney","image-keyboard-response","16","146045","0.0-5.0-2.3","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","17","146248","0.0-5.0-0.4","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"","","","reveal","animate-transparency","18","150252","0.0-5.0-1.4","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","[]",""
"null","img/tt/0400tt.jpg","null","mooney","image-keyboard-response","19","150754","0.0-5.0-2.4","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","20","150954","0.0-5.0-0.5","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"","","","reveal","animate-transparency","21","154955","0.0-5.0-1.5","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","[]",""
"null","img/tt/0026tt.jpg","null","mooney","image-keyboard-response","22","155457","0.0-5.0-2.5","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","23","155659","0.0-5.0-0.6","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"","","","reveal","animate-transparency","24","159660","0.0-5.0-1.6","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","[]",""
"null","img/tt/0174tt.jpg","null","mooney","image-keyboard-response","25","160161","0.0-5.0-2.6","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","26","160361","0.0-5.0-0.7","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"","","","reveal","animate-transparency","27","164362","0.0-5.0-1.7","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","[]",""
"null","img/tt/0575tt.jpg","null","mooney","image-keyboard-response","28","164862","0.0-5.0-2.7","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","29","165064","0.0-5.0-0.8","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"","","","reveal","animate-transparency","30","169066","0.0-5.0-1.8","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","[]",""
"null","img/tt/0538tt.jpg","null","mooney","image-keyboard-response","31","169566","0.0-5.0-2.8","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","32","169768","0.0-5.0-0.9","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"","","","reveal","animate-transparency","33","173768","0.0-5.0-1.9","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","[]",""
"null","img/tt/0478tt.jpg","null","mooney","image-keyboard-response","34","174269","0.0-5.0-2.9","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","35","174471","0.0-5.0-0.10","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"","","","reveal","animate-transparency","36","178471","0.0-5.0-1.10","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","[]",""
"null","img/tt/0820tt.jpg","null","mooney","image-keyboard-response","37","178973","0.0-5.0-2.10","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","38","179175","0.0-5.0-0.11","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"","","","reveal","animate-transparency","39","183176","0.0-5.0-1.11","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","[]",""
"null","img/tt/0445tt.jpg","null","mooney","image-keyboard-response","40","183677","0.0-5.0-2.11","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","41","183880","0.0-5.0-0.12","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"","","","reveal","animate-transparency","42","187880","0.0-5.0-1.12","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","[]",""
"null","img/tt/0352tt.jpg","null","mooney","image-keyboard-response","43","188381","0.0-5.0-2.12","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","44","188584","0.0-5.0-0.13","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"","","","reveal","animate-transparency","45","192585","0.0-5.0-1.13","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","[]",""
"null","img/tt/0151tt.jpg","null","mooney","image-keyboard-response","46","193086","0.0-5.0-2.13","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","47","193286","0.0-5.0-0.14","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"","","","reveal","animate-transparency","48","197288","0.0-5.0-1.14","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","[]",""
"null","img/tt/0683tt.jpg","null","mooney","image-keyboard-response","49","197792","0.0-5.0-2.14","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","50","197992","0.0-5.0-0.15","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"","","","reveal","animate-transparency","51","201993","0.0-5.0-1.15","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","[]",""
"null","img/tt/0667tt.jpg","null","mooney","image-keyboard-response","52","202494","0.0-5.0-2.15","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","53","202694","0.0-5.0-0.16","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"","","","reveal","animate-transparency","54","206696","0.0-5.0-1.16","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","[]",""
"null","img/tt/0245tt.jpg","null","mooney","image-keyboard-response","55","207196","0.0-5.0-2.16","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","56","207396","0.0-5.0-0.17","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
"","","","reveal","animate-transparency","57","211398","0.0-5.0-1.17","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","[]",""
"null","img/tt/0458tt.jpg","null","mooney","image-keyboard-response","58","211899","0.0-5.0-2.17","5b9fa25e7b196f000195fd78","0","mooneymood","352547","","",""
