"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","experiment_name","totalTime","button_pressed","responses","order"
"3165","Welcome to the experiment. Press any key to begin.","32","instructions","html-keyboard-response","0","3174","0.0-0.0","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"16701","<div style='word-wrap: break-word; width: 900px'><h3>Please consider this information carefully before deciding whether to participate in this research</h3><ul style='text-align: left; font-size: .8em;'><li><b>Time required</b>: Participation will take between 15 and 45 minutes to complete.</li><li><b>Risks</b>:  There are no anticipated risks associated with participating in this study. The effects of participating should be comparable to those you would experience from viewing a computer monitor for 30 minutes and using a mouse or keyboard.</li><li><b>Benefits</b>:  This study provides no benefits to you individually except for the monetary reward. The study provides important information about the nature of perception and learning.</li><li><b>Confidentiality</b>:  Your participation in this study will remain confidential. No personally identifiable information will be associated with your data. Your de-identified data may be shared with other researchers and used in future projects.</li><li><b>Participation and withdrawal</b>:  Your participation in this study is completely voluntary and you may refuse to participate or you may choose to withdraw at any time without penalty.</li><li><b>How to contact the researchers</b>: If you have questions or concerns about your participation or payment, or want to request a summary of research findings, please contact Sander Van de Cruys (KU Leuven), at sander.vandecruys@kuleuven.be.</li></ul><p>The nature and purpose of this research have been sufficiently explained and I agree to participate in this study.  I understand that I am free to withdraw at any time without incurring any penalty.</p><p>Please consent by clicking the button below to continue. Otherwise, please exit the study at this time.</p></div>","","instructions","html-button-response","1","19897","0.0-1.0","5bb1fd6ea980250001d25089","0","mooneymood","399480","0","",""
"4812","<div style='word-wrap: break-word; width: 900px'><h3>Instructions: read carefully!</h3><p>This is a memory experiment that consists of 3 short parts. In the first part you'll have to fill in a brief emotion-questionnaire. In the second part you'll see a series of black and white images, that you'll have to try to remember in the last part.</p><p>Please complete each task immediately after the other. The experiment will only take about 10 minutes in total.</p><p>Press enter to start the first part of the experiment.</p></div>","","instructions","html-button-response","2","24711","0.0-2.0","5bb1fd6ea980250001d25089","0","mooneymood","399480","0","",""
"64559","","","panas_questionnaire","survey-likert","3","89276","0.0-3.0","5bb1fd6ea980250001d25089","0","mooneymood","399480","","{""Q0"":4,""Q1"":3,""Q2"":3,""Q3"":3,""Q4"":4,""Q5"":4,""Q6"":3,""Q7"":3,""Q8"":2,""Q9"":2,""Q10"":2,""Q11"":2,""Q12"":4,""Q13"":3,""Q14"":3,""Q15"":3,""Q16"":3,""Q17"":2,""Q18"":3,""Q19"":2}","Excited,Guilty,Ashamed,Upset,Determined,Interested,Hostile,Active,Jittery,Scared,Alert,Distressed,Proud,Nervous,Enthusiastic,Inspired,Afraid,Attentive,Irritable,Strong"
"5795","<div style='word-wrap: break-word; width: 900px'><h3>Start part 2</h3><p>You will see a serious of black and white images. Please pay close attention to the objects in the images because you'll need to remember them afterwards. You do not need to respond to the images, just passively look at them.</p><p>Press any key to start the second part of the experiment.</p></div>","32","instructions","html-keyboard-response","4","95074","0.0-4.0","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","5","95277","0.0-5.0-0.0","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"","","","reveal","animate-transparency","6","99280","0.0-5.0-1.0","5bb1fd6ea980250001d25089","0","mooneymood","399480","","[]",""
"null","img/tt/0628tt.jpg","null","mooney","image-keyboard-response","7","99782","0.0-5.0-2.0","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","8","99987","0.0-5.0-0.1","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"","","","reveal","animate-transparency","9","103989","0.0-5.0-1.1","5bb1fd6ea980250001d25089","0","mooneymood","399480","","[]",""
"null","img/tt/0776tt.jpg","null","mooney","image-keyboard-response","10","104492","0.0-5.0-2.1","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","11","104695","0.0-5.0-0.2","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"","","","reveal","animate-transparency","12","108697","0.0-5.0-1.2","5bb1fd6ea980250001d25089","0","mooneymood","399480","","[]",""
"null","img/tt/0419tt.jpg","null","mooney","image-keyboard-response","13","109200","0.0-5.0-2.2","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","14","109403","0.0-5.0-0.3","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"","","","reveal","animate-transparency","15","113404","0.0-5.0-1.3","5bb1fd6ea980250001d25089","0","mooneymood","399480","","[]",""
"null","img/tt/0242tt.jpg","null","mooney","image-keyboard-response","16","113905","0.0-5.0-2.3","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","17","114107","0.0-5.0-0.4","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"","","","reveal","animate-transparency","18","118110","0.0-5.0-1.4","5bb1fd6ea980250001d25089","0","mooneymood","399480","","[]",""
"null","img/tt/0465tt.jpg","null","mooney","image-keyboard-response","19","118612","0.0-5.0-2.4","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","20","118814","0.0-5.0-0.5","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"","","","reveal","animate-transparency","21","122817","0.0-5.0-1.5","5bb1fd6ea980250001d25089","0","mooneymood","399480","","[]",""
"null","img/tt/0028tt.jpg","null","mooney","image-keyboard-response","22","123319","0.0-5.0-2.5","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","23","123522","0.0-5.0-0.6","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"","","","reveal","animate-transparency","24","127524","0.0-5.0-1.6","5bb1fd6ea980250001d25089","0","mooneymood","399480","","[]",""
"null","img/tt/0214tt.jpg","null","mooney","image-keyboard-response","25","128026","0.0-5.0-2.6","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","26","128226","0.0-5.0-0.7","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"","","","reveal","animate-transparency","27","132228","0.0-5.0-1.7","5bb1fd6ea980250001d25089","0","mooneymood","399480","","[]",""
"null","img/tt/0383tt.jpg","null","mooney","image-keyboard-response","28","132731","0.0-5.0-2.7","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","29","132933","0.0-5.0-0.8","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"","","","reveal","animate-transparency","30","136935","0.0-5.0-1.8","5bb1fd6ea980250001d25089","0","mooneymood","399480","","[]",""
"null","img/tt/0496tt.jpg","null","mooney","image-keyboard-response","31","137438","0.0-5.0-2.8","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","32","137639","0.0-5.0-0.9","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"","","","reveal","animate-transparency","33","141642","0.0-5.0-1.9","5bb1fd6ea980250001d25089","0","mooneymood","399480","","[]",""
"null","img/tt/0367tt.jpg","null","mooney","image-keyboard-response","34","142142","0.0-5.0-2.9","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","35","142345","0.0-5.0-0.10","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"","","","reveal","animate-transparency","36","146346","0.0-5.0-1.10","5bb1fd6ea980250001d25089","0","mooneymood","399480","","[]",""
"null","img/tt/0315tt.jpg","null","mooney","image-keyboard-response","37","146849","0.0-5.0-2.10","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","38","147051","0.0-5.0-0.11","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"","","","reveal","animate-transparency","39","151057","0.0-5.0-1.11","5bb1fd6ea980250001d25089","0","mooneymood","399480","","[]",""
"null","img/tt/0111tt.jpg","null","mooney","image-keyboard-response","40","151561","0.0-5.0-2.11","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","41","151764","0.0-5.0-0.12","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"","","","reveal","animate-transparency","42","155767","0.0-5.0-1.12","5bb1fd6ea980250001d25089","0","mooneymood","399480","","[]",""
"null","img/tt/0796tt.jpg","null","mooney","image-keyboard-response","43","156269","0.0-5.0-2.12","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","44","156470","0.0-5.0-0.13","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"","","","reveal","animate-transparency","45","160473","0.0-5.0-1.13","5bb1fd6ea980250001d25089","0","mooneymood","399480","","[]",""
"null","img/tt/0570tt.jpg","null","mooney","image-keyboard-response","46","160976","0.0-5.0-2.13","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","47","161177","0.0-5.0-0.14","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"","","","reveal","animate-transparency","48","165178","0.0-5.0-1.14","5bb1fd6ea980250001d25089","0","mooneymood","399480","","[]",""
"null","img/tt/0278tt.jpg","null","mooney","image-keyboard-response","49","165682","0.0-5.0-2.14","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","50","165883","0.0-5.0-0.15","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"","","","reveal","animate-transparency","51","169885","0.0-5.0-1.15","5bb1fd6ea980250001d25089","0","mooneymood","399480","","[]",""
"null","img/tt/0416tt.jpg","null","mooney","image-keyboard-response","52","170388","0.0-5.0-2.15","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","53","170588","0.0-5.0-0.16","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
"","","","reveal","animate-transparency","54","174592","0.0-5.0-1.16","5bb1fd6ea980250001d25089","0","mooneymood","399480","","[]",""
"null","img/tt/0534tt.jpg","null","mooney","image-keyboard-response","55","175093","0.0-5.0-2.16","5bb1fd6ea980250001d25089","0","mooneymood","399480","","",""
