"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","experiment_name","totalTime","button_pressed","responses","order"
"4474","Welcome to the experiment. Press any key to begin.","70","instructions","html-keyboard-response","0","4478","0.0-0.0","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"76960","<div style='word-wrap: break-word; width: 900px'><h3>Please consider this information carefully before deciding whether to participate in this research</h3><ul style='text-align: left; font-size: .8em;'><li><b>Time required</b>: Participation will take between 15 and 45 minutes to complete.</li><li><b>Risks</b>:  There are no anticipated risks associated with participating in this study. The effects of participating should be comparable to those you would experience from viewing a computer monitor for 30 minutes and using a mouse or keyboard.</li><li><b>Benefits</b>:  This study provides no benefits to you individually except for the monetary reward. The study provides important information about the nature of perception and learning.</li><li><b>Confidentiality</b>:  Your participation in this study will remain confidential. No personally identifiable information will be associated with your data. Your de-identified data may be shared with other researchers and used in future projects.</li><li><b>Participation and withdrawal</b>:  Your participation in this study is completely voluntary and you may refuse to participate or you may choose to withdraw at any time without penalty.</li><li><b>How to contact the researchers</b>: If you have questions or concerns about your participation or payment, or want to request a summary of research findings, please contact Sander Van de Cruys (KU Leuven), at sander.vandecruys@kuleuven.be.</li></ul><p>The nature and purpose of this research have been sufficiently explained and I agree to participate in this study.  I understand that I am free to withdraw at any time without incurring any penalty.</p><p>Please consent by clicking the button below to continue. Otherwise, please exit the study at this time.</p></div>","","instructions","html-button-response","1","81442","0.0-1.0","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","0","",""
"41044","<div style='word-wrap: break-word; width: 900px'><h3>Instructions: read carefully!</h3><p>This is a memory experiment that consists of 3 short parts. In the first part you'll have to fill in a brief emotion-questionnaire. In the second part you'll see a series of black and white images, that you'll have to try to remember in the last part.</p><p>Please complete each task immediately after the other. The experiment will only take about 10 minutes in total.</p><p>Press enter to start the first part of the experiment.</p></div>","","instructions","html-button-response","2","122488","0.0-2.0","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","0","",""
"149436","","","panas_questionnaire","survey-likert","3","271933","0.0-3.0","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","{""Q0"":1,""Q1"":2,""Q2"":3,""Q3"":2,""Q4"":0,""Q5"":2,""Q6"":3,""Q7"":3,""Q8"":2,""Q9"":2,""Q10"":1,""Q11"":3,""Q12"":1,""Q13"":1,""Q14"":2,""Q15"":2,""Q16"":3,""Q17"":2,""Q18"":1,""Q19"":3}","Excited,Active,Upset,Guilty,Ashamed,Attentive,Determined,Interested,Afraid,Alert,Enthusiastic,Distressed,Inspired,Strong,Jittery,Irritable,Nervous,Scared,Proud,Hostile"
"18678","<div style='word-wrap: break-word; width: 900px'><h3>Start part 2</h3><p>You will see a serious of black and white images. Please pay close attention to the objects in the images because you'll need to remember them afterwards. You do not need to respond to the images, just passively look at them.</p><p>Press any key to start the second part of the experiment.</p></div>","82","instructions","html-keyboard-response","4","290612","0.0-4.0","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","5","290813","0.0-5.0-0.0","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"","","","reveal","animate-transparency","6","294814","0.0-5.0-1.0","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","[]",""
"null","img/tt/0313tt.jpg","null","mooney","image-keyboard-response","7","295316","0.0-5.0-2.0","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","8","295515","0.0-5.0-0.1","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"","","","reveal","animate-transparency","9","299516","0.0-5.0-1.1","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","[]",""
"null","img/tt/0565tt.jpg","null","mooney","image-keyboard-response","10","300015","0.0-5.0-2.1","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","11","300215","0.0-5.0-0.2","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"","","","reveal","animate-transparency","12","304215","0.0-5.0-1.2","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","[]",""
"null","img/tt/0322tt.jpg","null","mooney","image-keyboard-response","13","304716","0.0-5.0-2.2","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","14","304915","0.0-5.0-0.3","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"","","","reveal","animate-transparency","15","308915","0.0-5.0-1.3","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","[]",""
"null","img/tt/0433tt.jpg","null","mooney","image-keyboard-response","16","309416","0.0-5.0-2.3","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","17","309616","0.0-5.0-0.4","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"","","","reveal","animate-transparency","18","313616","0.0-5.0-1.4","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","[]",""
"null","img/tt/0805tt.jpg","null","mooney","image-keyboard-response","19","314115","0.0-5.0-2.4","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","20","314317","0.0-5.0-0.5","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"","","","reveal","animate-transparency","21","318318","0.0-5.0-1.5","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","[]",""
"null","img/tt/0294tt.jpg","null","mooney","image-keyboard-response","22","318818","0.0-5.0-2.5","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","23","319018","0.0-5.0-0.6","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"","","","reveal","animate-transparency","24","323019","0.0-5.0-1.6","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","[]",""
"null","img/tt/0087tt.jpg","null","mooney","image-keyboard-response","25","323519","0.0-5.0-2.6","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","26","323718","0.0-5.0-0.7","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"","","","reveal","animate-transparency","27","327719","0.0-5.0-1.7","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","[]",""
"null","img/tt/0637tt.jpg","null","mooney","image-keyboard-response","28","328218","0.0-5.0-2.7","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","29","328419","0.0-5.0-0.8","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"","","","reveal","animate-transparency","30","332418","0.0-5.0-1.8","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","[]",""
"null","img/tt/0289tt.jpg","null","mooney","image-keyboard-response","31","332918","0.0-5.0-2.8","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","32","333117","0.0-5.0-0.9","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"","","","reveal","animate-transparency","33","337118","0.0-5.0-1.9","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","[]",""
"null","img/tt/0700tt.jpg","null","mooney","image-keyboard-response","34","337618","0.0-5.0-2.9","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","35","337818","0.0-5.0-0.10","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"","","","reveal","animate-transparency","36","341819","0.0-5.0-1.10","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","[]",""
"null","img/tt/0788tt.jpg","null","mooney","image-keyboard-response","37","342319","0.0-5.0-2.10","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","38","342519","0.0-5.0-0.11","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"","","","reveal","animate-transparency","39","346519","0.0-5.0-1.11","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","[]",""
"null","img/tt/0110tt.jpg","null","mooney","image-keyboard-response","40","347019","0.0-5.0-2.11","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","41","347219","0.0-5.0-0.12","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","",""
"","","","reveal","animate-transparency","42","351219","0.0-5.0-1.12","5bbe199f0e72ea0001754ff7","180","mooneymood","738517","","[]",""
