tt	gs	sol	part
img/tt/001tt.jpg	img/gs/001gs.jpg	motor, moto, motorfiets, brommer, bromfiets,stad	band,
img/tt/002tt.jpg	img/gs/002gs.jpg	walnoot, okkernoot, noot 	dop (schaal),
img/tt/003tt.jpg	img/gs/003gs.jpg	slang, snake	oog,
img/tt/004tt.jpg	img/gs/004gs.jpg	insect, beestje, kever, tor	poot,
img/tt/005tt.jpg	img/gs/005gs.jpg	wc, toilet,wcbril,wc-bril,WC	bril,
img/tt/006tt.jpg	img/gs/006gs.jpg	kwal	
img/tt/007tt.jpg	img/gs/007gs.jpg	piano, vleugelpiano	toetsen,
img/tt/009tt.jpg	img/gs/009gs.jpg	kruiswoordpuzzel, kruiswoordraadsel, denkpuzzel, woordpuzzel, puzzel	invulhokje
img/tt/010tt.jpg	img/gs/010gs.jpg	fluitketel, ketel, waterkoker	schenkteut
img/tt/012tt.jpg	img/gs/012gs.jpg	kat, poes, pussy, pussycat, katje, poesje, cat,poot	
img/tt/013tt.jpg	img/gs/013gs.jpg	luipaard, jaguar, jachtluipaard,leopard, puma, cheetah, tijger, panter	oor,
img/tt/014tt.jpg	img/gs/014gs.jpg	mok, tas, kop, kopje, tasje	oor,
img/tt/015tt.jpg	img/gs/015gs.jpg	leeuw,manen	
img/tt/016tt.jpg	img/gs/016gs.jpg	oog,pupil	
img/tt/017tt.jpg	img/gs/017gs.jpg	ananas,ananassen	
img/tt/018tt.jpg	img/gs/018gs.jpg	roos,roosje, bloem,blaadje	
img/tt/021tt.jpg	img/gs/021gs.jpg	kat, poes, pussy, pussycat, cat	oog,
img/tt/025tt.jpg	img/gs/025gs.jpg	konijn, konijntje, haas 	oor,
img/tt/027tt.jpg	img/gs/027gs.jpg	ziekenbed, ziekbed, ziekenhuisbed	wiel,
img/tt/030tt.jpg	img/gs/030gs.jpg	sinaasappel, appelsien, citrus, citrusvrucht, ctitroenachtige, mandarijn, mandarine	schil,
img/tt/039tt.jpg	img/gs/039gs.jpg	bloem, flower, bloesem	stempel
img/tt/045tt.jpg	img/gs/045gs.jpg	hagedis, kameleon, leguaan, lizard, salamander, gekko, kikker	poot,
img/tt/055tt.jpg	img/gs/055gs.jpg	klokken, bells, bellen, belletjes, klepel	?,
img/tt/062tt.jpg	img/gs/062gs.jpg	hond, dog	poot,
img/tt/064tt.jpg	img/gs/064gs.jpg	schoenen, schoen, sportschoenen, veters, laces, shoe, shoes,	veter,
img/tt/065tt.jpg	img/gs/065gs.jpg	kever, insect, beestje, bug, tor	voelspriet,
img/tt/087tt.jpg	img/gs/087gs.jpg	vlinder, butterfly	vleugel,
img/tt/107tt.jpg	img/gs/107gs.jpg	eekhoorn, squirrel	oor,
