img	sol
img/tt/003tt.jpg	snake, slang,
img/tt/012tt.jpg	cat, kat,poes,pussy, pussycat, katje, poesje,
img/tt/013tt.jpg	luipaard,leopard,puma,cheetah, tijger, panter
img/tt/021tt.jpg	cat,kat,poes,pussy,pussycat,
img/tt/039tt.jpg	bloem,flower,bloesem
img/tt/045tt.jpg	hagedis,kikker,kameleon,leguaan,lizard,salamander,gekko
img/tt/055tt.jpg	clocks,klokken,bells,bellen,belletjes,klepel,
img/tt/062tt.jpg	hond,dog,
img/tt/064tt.jpg	shoes,shoe,schoenen,schoen,veters,laces
img/tt/065tt.jpg	bug,kever,insect,beestje
img/tt/087tt.jpg	butterfly,vlinder,
img/tt/107tt.jpg	eekhoorn, squirrel,
img/tt/127tt.jpg	house, huis, building, gebouw, hut, stal, stable
img/tt/128tt.jpg	cow, rund, koe, cattle, ox, bull, bovine, stier, os,
img/tt/129tt.jpg	cow, rund, koe, cattle, ox, bull, bovine, stier, os,
img/tt/137tt.jpg	krokodil, crocodile, kaaiman, croc, alligator,
img/tt/148tt.jpg	frog, kikker, pad, toad,
img/tt/184tt.jpg	vork, fork, vorken, forks
img/tt/191tt.jpg	hond, dog,
img/tt/192tt.jpg	cat, kat, poes, pussy, pussycat,
img/tt/209tt.jpg	tang, pliers, nijp, nijptang, trektang, striptang, stripping, werktuig, werktuigen, schroevendraaier, screwdriver, nagels, nails, schroeven, screws, plugs
img/tt/243tt.jpg	fluitketel,ketel,kettle,pot,kookpot,teapot,theepot, koffie, koffiepot
img/tt/273tt.jpg	hagedis,kikker, kameleon,leguaan,lizard,salamander, kameleonachtige
img/tt/292tt.jpg	eekhoorn, squirrel,
img/tt/298tt.jpg	eekhoorn, squirrel,
img/tt/350tt.jpg	kan, kruik, waterkan, waterkruik, water, fles, bottle, jug, jar, pitcher
img/tt/359tt.jpg	uil, owl, vogel, bird
img/tt/367tt.jpg	balpen, stylos, pennen, balpennen, pen, vulpen, vulpennen, potlood, potloden, kleurpotloden,
img/tt/378tt.jpg	mens, human, vrouw, woman, women, man, girl, lady, kind, child, persoon, chinees, aziaat, asian, chinese, oosters, oostersmeisje, slapend
img/tt/394tt.jpg	snake, slang,
img/tt/399tt.jpg	tang, pliers, nijp, nijptang, trektang, striptang, stripping, gereedschap
img/tt/400tt.jpg	tang, pliers, nijp, nijptang, trektang, striptang, stripping, gereedschap
img/tt/404tt.jpg	bloem,flower,
img/tt/422tt.jpg	mand, korf, vaas, vase, basket, bag, urn, amfoor,
img/tt/429tt.jpg	snake, slang, slangenkop
img/tt/447tt.jpg	bird, vogel, mus,
img/tt/449tt.jpg	lady, woman, human, vrouw, mens, dame, danser, dancer, superwoman, superhero, superman, super, gezicht, rechtopstaande,
img/tt/450tt.jpg	bloem,flower,rose, roos, bloesem
img/tt/451tt.jpg	bloem,flower,rose, roos, bloesem
img/tt/469tt.jpg	sealion, zeeleeuw, zeehond, seal,
img/tt/474tt.jpg	ship, schip, boot, boat,
img/tt/478tt.jpg	sowing machine, stikmachine, naaimachine, naaien,
img/tt/487tt.jpg	bird, vogel, 
img/tt/506tt.jpg	birds, vogels, vogel, bird, papegaai, parrot, parkiet, parakeet, kaketoe
img/tt/525tt.jpg	tank,oorlogstank
img/tt/533tt.jpg	butterfly,vlinder,
img/tt/549tt.jpg	tijger, tiger,
img/tt/556tt.jpg	horloge, uurwerk, watch, clock, time, klok
img/tt/558tt.jpg	frog, kikker, pad, toad,
img/tt/559tt.jpg	frog, kikker, pad, toad,
img/tt/560tt.jpg	paddestoel, mushroom, schimmel, kikker, pad, toad, frog
img/tt/562tt.jpg	broodrooster, toaster,
img/tt/573tt.jpg	trein, train, locomotief, wagon, treinlocomotief
img/tt/576tt.jpg	trompet, trumpet, trombone, schuiftrompet
img/tt/582tt.jpg	schildpad, turtle
img/tt/585tt.jpg	violin,viool,gitaar,instrument, cello
img/tt/588tt.jpg	portefeuille,portemonnee,wallet,geldbeugel,
img/tt/593tt.jpg	mens, human, vrouw, woman, women, man, persoon,
img/tt/595tt.jpg	walvis, whale, dolfijn, dolphin, orca, orka,
img/tt/608tt.jpg	mens, human, vrouw, woman, women, man, girl, lady, zittend
img/tt/609tt.jpg	luipaard,leopard,puma,cheetah, tijger, panter
img/tt/623tt.jpg	elephant,olifant,slurf,
img/tt/625tt.jpg	mier, ant, insect,
img/tt/627tt.jpg	banaan, banana, bananas, bananen, tros bananen
img/tt/629tt.jpg	banaan, banana, bananas, bananen, tros bananen
img/tt/643tt.jpg	tas,boekentas,bag,aktetas,briefcase,schooltas,dokterstas,
img/tt/655tt.jpg	donkey,donkeys,ezels,ezel,paard,paarden,
img/tt/661tt.jpg	duck, bird, eend, vogel, zwaan,
img/tt/676tt.jpg	huis, gebouw, tuin, house, building, park, garden,
img/tt/683tt.jpg	koala, koalabeertje, beertje
img/tt/691tt.jpg	luipaard,leopard,puma,cheetah,tijger,jaguar, panter
img/tt/721tt.jpg	sinaasappel,orange,appelsien, citroen, lemon,
img/tt/728tt.jpg	owl, uil
img/tt/729tt.jpg	uil, owl, vogel, bird
img/tt/738tt.jpg	pepper, peper, paprika, red pepper, green pepper,
img/tt/745tt.jpg	piano, klavier, keyboard
img/tt/773tt.jpg	schildpad, turtle
img/tt/779tt.jpg	horloge, uurwerk, watch, clock, time
img/tt/781tt.jpg	wolf,vos,fox,hond,dog
img/tt/792tt.jpg	ananas, plant, pineapple
img/tt/801tt.jpg	bij,wesp,hommel,bee,wasp,insect
img/tt/809tt.jpg	bug,kever,insect,beestje, wants
img/tt/812tt.jpg	bug,kever,insect,beestje, wants
img/tt/817tt.jpg	donkey,donkeys,ezels,ezel,paard,paarden,
img/tt/823tt.jpg	koala, koalabeertje, beertje, panda, beer,
img/tt/850tt.jpg	lieveheersbeestje, bug, kever, insect, beestje, ladybird, ladybug
img/tt/851tt.jpg	car, auto, autozetel, autostuur, zetel, stuur,
img/tt/852tt.jpg	beer, bear, icebear, ijsbeer, jong, ijsberen
img/tt/853tt.jpg	fluit, fluitje, flute, whistle, scheidsrechterfluitje
img/tt/854tt.jpg	pizza, pizzastuk, pizza slice, pepperoni, cheese, salami, kaas
img/tt/855tt.jpg	basket, basketter, basketballer, basketbal, basketspeler, speler, player
img/tt/856tt.jpg	stikmachine, stikken, naaien, naaimachine,
img/tt/857tt.jpg	hamburger, cheese, kaas, broodje, fast food,
img/tt/858tt.jpg	skieen, skies, skieer, boom, snowboard, skier, skis, ski, skier
img/tt/859tt.jpg	kangoeroe, kangaroo
